generated_at,total_examples,trainable_examples,inference_examples,unique_videos,unique_channels,recommended_status,can_train_now,examples_missing_for_exploratory,examples_missing_for_baseline
2026-05-18T14:07:42+00:00,7643,7643,3875,765,55,ready_for_baseline,True,0,0
2026-05-21T13:45:44+00:00,10308,10308,5725,931,56,ready_for_baseline,True,0,0
2026-05-25T13:47:58+00:00,24543,24543,7666,5076,224,ready_for_baseline,True,0,0
2026-06-04T13:42:38+00:00,24543,24543,7666,5076,224,ready_for_baseline,True,0,0
2026-06-08T14:36:39+00:00,24543,24543,7666,5076,224,ready_for_baseline,True,0,0
2026-06-22T15:37:59+00:00,24543,24543,7666,5076,224,ready_for_baseline,True,0,0
2026-06-25T12:39:37+00:00,24543,24543,7666,5076,224,ready_for_baseline,True,0,0
2026-07-06T14:08:10+00:00,24543,24543,7666,5076,224,ready_for_baseline,True,0,0
