execution_date,video_id,views_delta,likes_delta,comments_delta,previous_views,current_views,previous_likes,current_likes,previous_comments,current_comments,is_new_video,title_changed,description_changed,tags_changed
2026-05-07T11:23:42.805421+00:00,jRLXiOUYpqE,21506,840,18,393084,414590,23592,24432,273,291,False,False,False,False
2026-05-07T11:23:42.805421+00:00,SWyHoj5CRqs,3248,215,5,29382,32630,2933,3148,163,168,False,False,False,False
2026-05-07T11:23:42.805421+00:00,uTBQ0E07n88,6552,230,7,40649,47201,2358,2588,54,61,False,False,False,False
2026-05-07T11:23:42.805421+00:00,YGwqvGyl9f8,4467,146,0,66656,71123,3349,3495,119,119,False,False,False,False
2026-05-07T11:23:42.805421+00:00,m8nU1oWeHAI,645,53,0,4990,5635,331,384,2,2,False,False,False,False
2026-05-07T11:23:42.805421+00:00,5XkSf-AWb_Y,2062,32,0,16723,18785,392,424,6,6,False,False,False,False
2026-05-07T11:23:42.805421+00:00,mJsIzeo1Onw,948,66,3,9951,10899,868,934,91,94,False,False,False,False
2026-05-07T11:23:42.805421+00:00,Scg5AwFfs-w,552,30,0,5257,5809,235,265,3,3,False,False,False,False
2026-05-07T11:23:42.805421+00:00,wng1spgJCoU,17657,459,11,125887,143544,4241,4700,344,355,False,False,False,False
2026-05-07T11:23:42.805421+00:00,N5iBaZ5gnfE,39033,1235,12,1066871,1105904,37459,38694,408,420,False,False,False,False
2026-05-07T11:23:42.805421+00:00,n-gYFcVx-8Y,169608,8968,1238,2458436,2628044,140375,149343,20961,22199,False,False,False,False
2026-05-07T11:23:42.805421+00:00,0xt5-FTpASM,15709,607,82,177146,192855,11124,11731,1321,1403,False,False,False,False
2026-05-07T11:23:42.805421+00:00,fKuIJ_z2Y6A,62550,1677,87,343468,406018,17813,19490,1073,1160,False,False,False,False
2026-05-07T11:23:42.805421+00:00,n8bdMyQzV0U,7409,267,38,99121,106530,4134,4401,584,622,False,False,False,False
2026-05-07T11:23:42.805421+00:00,x-SEoMFBPQQ,1306,46,28,10147,11453,607,653,64,92,False,False,False,False
2026-05-07T11:23:42.805421+00:00,mYxbmWCkImc,329,21,-1,2858,3187,106,127,5,4,False,False,False,False
2026-05-07T11:23:42.805421+00:00,3lUxnG8nKC0,166,7,1,2445,2611,190,197,72,73,False,False,False,False
2026-05-07T11:23:42.805421+00:00,YFc40YFhMvk,14341,425,-2,44005,58346,1953,2378,66,64,False,False,False,False
