content_format,video_id,hybrid_decision_score,model_score_percentile,model_score,prediction_rank,decision_score,confidence_level
videos,30PGLa8GzmM,58.1896,54.2367,0.01800005,5553,64.1189,high
videos,7yOyYfBDy38,58.1849,96.9749,0.99463291,368,0.0,
videos,UYFT0eC-g7E,58.18,96.9667,0.9946183,369,0.0,
videos,2rXcq6fXpiM,58.1751,96.9585,0.9946162,370,0.0,
videos,0idqiLonGYI,58.1701,96.9502,0.99461149,371,0.0,
videos,3COF7VcbRbE,58.1652,96.942,0.99457763,372,0.0,
videos,r8kpOGuCXe4,58.1602,96.9337,0.99455538,373,0.0,
videos,vcg1WMzr9xw,58.1553,96.9255,0.99451574,374,0.0,
videos,9IYRd5TnC5M,58.1503,96.9172,0.99448014,375,0.0,
videos,7maiBkIm2oU,58.1454,96.909,0.99446574,376,0.0,
videos,BFBCXVZwTqI,58.1405,96.9008,0.99444543,377,0.0,
videos,qjZRGnwkTlI,58.1355,96.8925,0.99438225,378,0.0,
videos,d8sm9LsXtv0,58.1306,96.8843,0.99436493,379,0.0,
videos,lRmMQyDxjO0,58.1256,96.876,0.99435922,380,0.0,
videos,8Kk_os70v2I,58.1207,96.8678,0.99432833,381,0.0,
videos,EsdCFplZdZo,58.1157,96.8595,0.99431278,382,0.0,
videos,yLJ8C8Xg5EQ,58.1108,96.8513,0.99431201,383,0.0,
videos,YuYDi5dh_70,58.1059,96.8431,0.9942201,384,0.0,
videos,ZdIreEJnRHA,58.1009,96.8348,0.99405844,385,0.0,
videos,uCI13vEkn24,58.096,96.8266,0.99401405,386,0.0,
videos,7LYzvA0Rf0w,58.091,96.8183,0.99399916,387,0.0,
videos,Jm2RWBmrW1M,58.0861,96.8101,0.9939943,388,0.0,
videos,lmyKpdfOBRs,58.0811,96.8018,0.99399104,389,0.0,
videos,kc7AXAi56vM,58.0762,96.7936,0.99374493,390,0.0,
videos,pjFpW2da_g4,58.0712,96.7854,0.99371774,391,0.0,
videos,6xUmuh2YDDI,58.0663,96.7771,0.99367961,392,0.0,
videos,thx1_qS3i6g,58.0564,96.7606,0.99344953,394,0.0,
videos,53KqVqZ39eg,58.055,66.6255,0.13673438,4050,45.1993,medium
videos,BLQNNuH6pG8,58.0514,96.7524,0.99337909,395,0.0,
videos,IM1vgMfNFS8,58.0465,96.7441,0.99332477,396,0.0,
videos,E3k-qYMaSbM,58.0415,96.7359,0.99326816,397,0.0,
videos,Cnuj24PjWrQ,58.0366,96.7277,0.99323195,398,0.0,
videos,05vM0OQTc3I,58.0316,96.7194,0.99320471,399,0.0,
videos,9-9-D0lnDyI,58.0267,96.7112,0.99317421,400,0.0,
videos,Ihwi8vE7neM,58.0217,96.7029,0.99314709,401,0.0,
videos,_ZukdYNtcHI,58.0168,96.6947,0.99311765,402,0.0,
videos,s6PPu0Mphws,58.0118,96.6864,0.99305173,403,0.0,
videos,d6hRhPxXB6Q,58.0069,96.6782,0.99304093,404,0.0,
videos,C3lpBi4kNxM,58.002,96.67,0.99303095,405,0.0,
videos,EbswiQsFB4I,57.997,96.6617,0.99296137,406,0.0,
videos,AkAoF8gwPRI,57.9921,96.6535,0.99289815,407,0.0,
videos,ece6BgCjZkc,57.9871,96.6452,0.992829,408,0.0,
videos,-0kFEenVtII,57.987,53.9894,0.01746045,5583,63.9834,high
videos,HcLdTujpQJc,57.9822,96.637,0.9927704,409,0.0,
videos,SYDPh5AIetE,57.9794,55.9182,0.02464718,5349,61.0711,high
videos,-frVp4LMMNk,57.9773,96.6288,0.99275186,410,0.0,
videos,Zp1cicFWSQE,57.9764,60.5836,0.05271439,4783,54.0655,high
videos,iuvnBjLvCks,57.972,54.3192,0.01815742,5543,63.4512,high
videos,GJ0p9hfdcVE,57.9674,96.6123,0.99268848,412,0.0,
videos,90TUo76CbOc,57.9624,96.604,0.99267202,413,0.0,
videos,nvr5nM2ejJs,57.9575,96.5958,0.99264674,414,0.0,
videos,onPq0st9EJ0,57.9525,96.5875,0.99262711,415,0.0,
videos,sK-_TyhiTqI,57.9517,53.5114,0.01591737,5641,64.6121,high
videos,5T67MEj7ur4,57.9476,96.5793,0.99258736,416,0.0,
videos,WiSFPNHrf3A,57.9427,96.5711,0.99256635,417,0.0,
videos,dGaQNl1sTC0,57.9377,96.5628,0.99251043,418,0.0,
videos,mvJvKwwGeIY,57.9328,96.5546,0.99247852,419,0.0,
videos,DDWHloNlnJ8,57.9278,96.5463,0.99245158,420,0.0,
videos,WufGmAWN-7o,57.9229,96.5381,0.99244871,421,0.0,
videos,Dx9Hk43CE0I,57.9179,96.5298,0.99243603,422,0.0,
videos,b7EIlhXgm0E,57.913,96.5216,0.99237097,423,0.0,
videos,swsjPsze8kA,57.9084,56.7178,0.02814703,5252,59.6943,high
videos,QLl_KZrFquA,57.908,96.5134,0.99234856,424,0.0,
videos,JQ8OpyAeTxw,57.9062,55.0692,0.0207899,5452,62.1618,high
videos,8J2xeXIHSII,57.9031,96.5051,0.99234153,425,0.0,
videos,lX-qDfW5NzY,57.9004,50.8408,0.01018498,5965,68.4897,high
videos,l1mn-ljt8Bc,57.8981,96.4969,0.99234134,426,0.0,
videos,h8bxzXmwEKQ,57.8932,96.4886,0.99229827,427,0.0,
videos,7S3LvDMxrxQ,57.8882,96.4804,0.99226772,428,0.0,
videos,xXOPsSOcyAw,57.8833,96.4721,0.99226469,429,0.0,
videos,MNOw15El9SI,57.8783,96.4639,0.99226018,430,0.0,
videos,9uEU6bWB6_4,57.8684,96.4474,0.99220676,432,0.0,
videos,kZi2Gt90N-M,57.8635,96.4392,0.9921889,433,0.0,
videos,ECxbs40xMAY,57.8585,96.4309,0.99218236,434,0.0,
videos,Ks5zMlpofLY,57.8536,96.4227,0.99214819,435,0.0,
videos,MOc03-gktwU,57.8486,96.4144,0.99208427,436,0.0,
videos,pz3av2ZsatA,57.8437,96.4062,0.9920828,437,0.0,
videos,mN3Gt29ygtY,57.8388,96.398,0.99205746,438,0.0,
videos,pb90cbTtr90,57.8338,96.3897,0.99204076,439,0.0,
videos,nSTLx9Pm3yY,57.8289,96.3815,0.99203849,440,0.0,
videos,ZyEOv4rbLW4,57.8239,96.3732,0.99201942,441,0.0,
videos,MwJUN0a3IJg,57.819,96.365,0.99197803,442,0.0,
videos,xyfpcVFlDzM,57.814,96.3567,0.99197204,443,0.0,
videos,QyskQwnbP-M,57.8091,96.3485,0.99197072,444,0.0,
videos,c7_alY5CCX0,57.8042,96.3403,0.99191336,445,0.0,
videos,l7zn7S_oalE,57.7992,96.332,0.9918025,446,0.0,
videos,yLkP7-vuK1w,57.7943,96.3238,0.99176258,447,0.0,
videos,CBTDOQuxnT4,57.7893,96.3155,0.99167051,448,0.0,
videos,dUh10JqaYfI,57.7891,53.0745,0.01478961,5694,64.861,high
videos,MCFU8G3daJM,57.7844,96.3073,0.99166743,449,0.0,
videos,s4Lav_gsMPo,57.7794,96.299,0.99162258,450,0.0,
videos,68DgpdnjBEg,57.7745,96.2908,0.99144446,451,0.0,
videos,1LaYvhJGuLI,57.7696,96.2826,0.99130382,452,0.0,
videos,6xRg9Vtpc18,57.7646,96.2743,0.99115337,453,0.0,
videos,90-nxjzYt9g,57.7597,96.2661,0.9911525,454,0.0,
