grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
monthly,2026-05-01,2026-05-31,UCknLrEdhRCp1aegoMqRaCZg,DW News,32,30,110002,1775,170,0.023108,GoLB3bdNmOs,Massive meth lab bust in Nigeria | DW News,16612
monthly,2026-05-01,2026-05-31,UCYLNGLIzMhRTi6ZOLjAPSmw,Shakira,1,1,109224,3335,77,0.058336,QiTWdB3WNC0,@fifa World Cup vibes 🐺⚽️,109224
monthly,2026-05-01,2026-05-31,UCwd_qoS94df5orGoPLPnsxQ,Franco Pisso,10,10,103503,5657,126,0.060988,DVksAVsBzlc,"Si te molesta como a mí, poné el límite.",18849
monthly,2026-05-01,2026-05-31,UCJHA_jMfCvEnv-3kRjTCQXw,Binging with Babish,5,5,102407,1860,17,0.01967,AtawWdAgyE8,Mozzarella sticks: upgraded!,41857
monthly,2026-05-01,2026-05-31,UCYVinkwSX7szARULgYpvhLw,Ali-A,11,11,101490,1972,31,0.021995,XBdXWnZ59Wo,This Controller has BROKEN Fortnite! 😨,27961
monthly,2026-05-01,2026-05-31,UCTkXRDQl0luXxVQrRQvWS6w,Dream,1,1,93776,3729,88,0.055948,G9I2qfuXIIg,Peaceful Mode...,93776
monthly,2026-05-01,2026-05-31,UCY30JRSgfhYXA6i6xX1erWg,Smosh,4,4,90727,3262,34,0.053622,4pfGAqt2A1U,Dude...WHAT??,55246
monthly,2026-05-01,2026-05-31,UCDVYQ4Zhbm3S2dlz7P1GBDg,NFL,7,7,89233,1667,48,0.019239,UQo6bIs4eps,Rookies in unis 🔥,25001
monthly,2026-05-01,2026-05-31,UC2wKfjlioOCLP4xQMOWNcgg,Typical Gamer,1,1,87074,4511,285,0.067249,IZFambTgDQA,My Biggest Announcement EVER...,87074
monthly,2026-05-01,2026-05-31,UCCEmjNPpJYhGDgaEqeeA4HA,TheGrefg,4,4,79680,1980,34,0.029896,0b2H11DZrC4,¿Cuánto paga Reguilón por su casa en Miami?,35072
monthly,2026-05-01,2026-05-31,UChhw6DlKKTQ9mYSpTfXUYqA,Starter Story,7,4,76432,1408,20,0.026261,O12RoSwTum4,Genius app store keyword trick that made him $50K per month,19615
monthly,2026-05-01,2026-05-31,UC4NALVCmcmL5ntpV0thoH6w,LooLoo Kids - Nursery Rhymes and Children's Songs,2,2,73905,719,0,0.00801,OSH4jRJWVYs,Surprise Eggs with Yummy Fruits! 🍎🌈 Fun for Kids,73905
monthly,2026-05-01,2026-05-31,UC52kszkc08-acFOuogFl5jw,Tibees,4,3,73579,4172,278,0.061467,6sARbvvnHxw,A rare mathematical symbol ⊰,35818
monthly,2026-05-01,2026-05-31,UCKqH_9mk1waLgBiL2vT5b9g,VanossGaming,1,1,72294,5154,72,0.099634,H8gSnJXbVDI,Come On Down to Olive Garden,72294
monthly,2026-05-01,2026-05-31,UCrsyfsHNdpB5U_FHENCuB2A,El Cubil de Peter,1,1,70935,1613,40,0.038871,jZVixFS9WlM,Encuentran DIENTE de NEANDERTAL que deja DESCONCERTADOS a los arqueologos #shorts,70935
monthly,2026-05-01,2026-05-31,UCH4BNI0-FOK2dMXoFtViWHw,Be Smart,2,2,70062,2485,56,0.065765,Z0H2lWnri10,"Wait, are octopuses building cities now?",66704
monthly,2026-05-01,2026-05-31,UCoookXUzPciGrEZEXmh4Jjg,Sesame Street,2,2,69345,878,0,0.012985,mpCvxdi-cKM,Do the Rock Rock Rock Rock Rocco and Roll! 🎸 #sesamestreet,64382
monthly,2026-05-01,2026-05-31,UCEQXxiYxNZbym9Fad7-n2Lg,Doctor Fisión,4,2,69052,3511,52,0.067266,jFZPpkVszCg,ESTE ES EL MAPA 3D MÁS GRANDE DEL UNIVERSO 🌌,37729
monthly,2026-05-01,2026-05-31,UCP15FVAA2UL-QOcGhy7-ezA,EDteam,8,5,67864,2660,72,0.050425,Rzj58_gC25s,FDE: el nuevo programador para la era de la IA,42563
monthly,2026-05-01,2026-05-31,UC9vUu4vlIlMC0dHQCTvQPbg,The Money Guy Show,11,11,66632,787,63,0.014925,8GvKFSeOTD8,The Math Behind Becoming a Millionaire,16039
monthly,2026-05-01,2026-05-31,UCoXtmmnLCbXDiSo8GxsmOzA,La gata de Schrödinger,1,1,62571,2045,83,0.043653,EJBfmLrc-iw,¿Esto es lo que ven los niños ahora?,62571
monthly,2026-05-01,2026-05-31,UCfyehHM_eo4g5JUyWmms2LA,Sorted Food,5,5,61005,605,10,0.019068,qpWF7JaHIbM,Epic Toaster Challenge - 350 Slices of Toast!,36547
monthly,2026-05-01,2026-05-31,UCYUQQgogVeQY8cMQamhHJcg,CinemaSins,15,15,59374,995,29,0.013291,sV6fFxm166s,Dear diary...#danceswithwolves #cinemasins,13901
monthly,2026-05-01,2026-05-31,UCtT7zEoC9-HNyLYb8cYWoww,Ale Marin,63,63,54241,2278,42,0.033113,AJysZCG46Vw,DEJEN A MILO J CANTAR LO QUE QUIERA,5208
monthly,2026-05-01,2026-05-31,UCVzLLZkDuFGAE2BGdBuBNBg,Bluey - Official Channel,1,1,53854,819,0,0.016239,uvvc3AlsV4Q,Unicorse LOVES heavy metal!🎸🦄🤘| Bluey,53854
monthly,2026-05-01,2026-05-31,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,7,6,49329,1074,36,0.028175,Fo1L69HFO0c,Is OpenClaw Dead?,13906
monthly,2026-05-01,2026-05-31,UCDK9qD5DAQML-pzrtA7A4oA,OfflineTV,2,2,48532,1110,5,0.029202,KEp5oyeS6wA,The ultimate reaction speed test 😎🎈,27961
monthly,2026-05-01,2026-05-31,UC9MAhZQQd9egwWCxrwSIsJQ,HISTORY,15,15,47383,1141,33,0.024688,_Ge0PjLjre8,The Era of Electricity Brought on So Much Danger! | Hazardous History | #Shorts,11317
monthly,2026-05-01,2026-05-31,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,12,12,46879,346,133,0.012844,MCS3qEU7knE,Buddhist hall housing 'eternal flame' in Japan destroyed by fire,25907
monthly,2026-05-01,2026-05-31,UC5mQQ4Ur6oA8lsGFkvH2lyg,Noche De Chicxs,10,5,44270,1160,10,0.030961,KztyymfW3Dg,"Esa parte… de la persona sin colchón, te recomendamos saltártela. 😬🙈 #chisme #comedia",17613
monthly,2026-05-01,2026-05-31,UCzR-rom72PHN9Zg7RML9EbA,PBS Eons,2,1,44120,1289,29,0.0387,Re9uBHP_Aqo,Did this ancient mole go on an adventure?,34364
monthly,2026-05-01,2026-05-31,UCGy7SkBjcIAgTiwkXEtPnYg,Andrei Jikh,4,4,43666,876,31,0.025501,1nJ3Drn18BY,Palantir Is Building the World’s Data Grid,24293
monthly,2026-05-01,2026-05-31,UCQX_MZRCaluNKxkywkLEgfA,Date un Vlog,5,0,43634,1566,22,0.052006,SRq2k75uLVo,Trump desclasifica informes del FBI sobre... extraterrestres,12319
monthly,2026-05-01,2026-05-31,UCmObdAaNbtVVR1OkKUsdgqg,Las Recetas de MJ,3,3,39031,1292,27,0.042738,_LCW_N8FwJg,10 comidas típicas de Irlanda #shorts,14051
monthly,2026-05-01,2026-05-31,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,16,16,38030,1268,18,0.037286,wC3s3MNFDlw,Did you know you can swap any two variables in Python without a temp variable? 🔥,8426
monthly,2026-05-01,2026-05-31,UCmE44gpkHmf5bKIVTPSwxnQ,Judith Tiral,4,2,36563,649,25,0.026396,ipIOj3KS3JU,¿CLASES de PARTO estando EMBARAZADO?,16033
monthly,2026-05-01,2026-05-31,UC4FHiPgS1KXkUMx3dxBUtPg,HolaMundo,7,5,32617,1305,20,0.039721,t9_dqoKfqLo,¿porqué este prompt es tan importante?,7235
monthly,2026-05-01,2026-05-31,UCMmaBzfCCwZ2KqaBJjkj0fw,Kings and Generals,1,1,31679,813,51,0.033434,9MF9mPaFTn0,Ukraine Under Mongol Control The Forgotten Century #history #ukraine #shorts,31679
monthly,2026-05-01,2026-05-31,UCEK0oX3X2yK9y27khCsrNKg,Mis Propias Finanzas,25,22,31569,1040,-116,0.039096,Q47YOagFwk8,La Verdad del Mercado Colombiano,4483
monthly,2026-05-01,2026-05-31,UCEAZeUIeJs0IjQiqTCdVSIg,Yahoo Finance,38,38,30913,239,25,0.013893,az2XB-m07Yc,"China ""is one of the most incredible economies in the world,"" Nvidia CEO Jensen Huang says.",8952
monthly,2026-05-01,2026-05-31,UC2iUwfYi_1FCGGqhOUNx-iA,ScreenRant,8,8,30119,361,14,0.016201,kTz8p1gnJW8,"Hollywood Is Already Being Changed by AI, and This Is Just the Beginning 👀🎬 #hollywood",11677
monthly,2026-05-01,2026-05-31,UCA2tt9GSU2sl8rAqjlLR3mQ,GeorgeNotFound,1,1,29843,910,3,0.042398,XZhtfrppsqo,Minecraft Arrow Toss...,29843
monthly,2026-05-01,2026-05-31,UCWn_0MmgojB711LFX-jaCDQ,El Rincón Del Dev,12,9,29670,1699,22,0.043744,UI29x4gJEKI,Resume todos tus proyectos para pasárselos a la IA 👀 #desarrolloweb #programacion,8956
monthly,2026-05-01,2026-05-31,UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,1,0,29568,683,83,0.035922,MKL0tk-3UM8,Send this to a dad you know,29568
monthly,2026-05-01,2026-05-31,UCjSVqRtdOsxQDss_pJpp_Yg,COMPUESTOS Podcast,21,16,29310,1743,14,0.04133,ImmxcdpyBUE,Checklist Para Invertir En 2026 📊 #Compuestos #AndresGarza #Cometa #Invertir,8124
monthly,2026-05-01,2026-05-31,UC9mrBfjgyOsqJ0J-zw7kZLQ,Atherion,12,6,28010,2200,31,0.088825,622RuR5hEEg,qué se hace con el niño Dios de la rosca?,4941
monthly,2026-05-01,2026-05-31,UCiMhD4jzUqG-IgPzUmmytRQ,Queen Official,6,6,27664,1312,78,0.065698,rpLw85zyu4I,"You can only save one song from Hot Space, which ones are you letting go? 😬 #queen",7661
monthly,2026-05-01,2026-05-31,UCbulh9WdLtEXiooRcYK7SWw,Metallica,3,3,26805,767,19,0.041767,tRmHZCSyaME,From the skies above #M72Chorzow 🌙,26805
monthly,2026-05-01,2026-05-31,UCTJXx9onKH6g4cWHS9pLqsQ,El HuffPost,21,20,25158,674,103,0.027319,BoLko7pEusk,Euprepio Padula se fija en lo que dicen del juez que ha imputado a Zapatero y repara en un detalle,10714
monthly,2026-05-01,2026-05-31,UCvksjnr7kInzcIjMpJpqF2A,Little Angel: Nursery Rhymes & Kids Songs,3,3,25036,144,0,0.006211,RdWzJ2MM6yo,Baby John Soccer Paper Crafting ⚽✂️ #littleangel,10871
monthly,2026-05-01,2026-05-31,UCvPGx8qh8AkrFZW06tESvaA,Dot Dager,5,5,24777,1137,32,0.053987,vtjFXdFGkBc,DE CHULO AL PROGRAMADOR #dev #programacion,9698
monthly,2026-05-01,2026-05-31,UCDOSaJ0pnglwzfkR6fYbisA,Luis Mi Negocios,1,0,23739,1491,22,0.072055,6CyjL4X8e7g,Estas PALABRAS destruyen la MENTALIDAD FINANCIERA de tus HIJOS,23739
monthly,2026-05-01,2026-05-31,UCFJJziTVsiIVSyRKvXHX37g,Canticos - Bilingual Nursery Rhymes & Kids Songs,8,8,23432,185,0,0.008757,FDMd7r3ikB8,Brush Your Teeth! 🪥Good Hygiene Habits Nursery Rhymes & Kids Songs @canticosworld,5534
monthly,2026-05-01,2026-05-31,UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,23,23,21986,751,0,0.021126,RJ2j-IqOod8,Navy investigating midair collision at Idaho airshow,3942
monthly,2026-05-01,2026-05-31,UCucNB6GOncGkTMB55ZrjYvg,Recetas de Esbieta,3,3,20966,595,15,0.029262,mkUGesjgU8k,Cómo conservar el bizcocho para que no se seque,13007
monthly,2026-05-01,2026-05-31,UCq2otJm7A6jGGcGFEks0HVw,Se Regalan Dudas Podcast,7,7,19502,513,7,0.028144,sAWPxzrfsz0,Cuando perdí mis piernas… el amor me sanó,6096
monthly,2026-05-01,2026-05-31,UCkJEpR7JmS36tajD34Gp4VA,Psych2Go,1,1,18730,866,56,0.059103,qzsdeNEMtFw,Why You Can't Stop Overthinking (Let's Figure It Out Together),18730
monthly,2026-05-01,2026-05-31,UCddn8dUxYdgJz3Qr5mjADtA,NutritionFacts.org,5,4,17762,824,34,0.076825,LIrqDNMl4SE,Black Bean Burgers  #dailydozen #healthyfood #easyhealthymeals,7690
monthly,2026-05-01,2026-05-31,UC30ajuhy8cViP2DiM1QLjmg,98grados,6,1,17007,1761,25,0.072596,Lc4kaEMcYPQ,Por el mismo dinero: ¿Cuál es mejor? iPhone vs Cámara #iphone #apple #cinematic,9298
monthly,2026-05-01,2026-05-31,UCPQ2dheMajZPnIleYZHzblg,Pablo Gil Trader,5,5,16646,259,4,0.028616,hFbKN-PWjjI,¿Por qué es TAN INTERESANTE el Bitcoin?,6554
monthly,2026-05-01,2026-05-31,UCXZCJLdBC09xxGZ6gcdrc6A,OpenAI,6,6,15653,283,46,0.030965,QKYbGCvNpFo,Introducing Appshots in Codex,6341
monthly,2026-05-01,2026-05-31,UCBHcMCGaiJhv-ESTcWGJPcw,NVIDIA Developer,1,1,15639,203,4,0.014111,pUo8RdgtYI0,Jensen Huang on What Makes NVIDIA's Architecture Unique,15639
monthly,2026-05-01,2026-05-31,UCHhYXsLBEVVnbvsq57n1MTQ,The AI Advantage,4,4,14909,244,2,0.019985,dj4MPMizG8U,You Might Want to Re-Learn Prompting...,5459
monthly,2026-05-01,2026-05-31,UCLXo7UDZvByw2ixzpQCufnA,Vox,3,3,14629,576,8,0.034173,cf48eRXPRYE,The Republican party and psychedelics,11772
