execution_date,channel_id,channel_name,videos_tracked,median_views_delta,median_engagement_rate,avg_duration_seconds,shorts_ratio,total_views_delta,new_videos,top_video_id,top_video_title,top_video_views_delta,channel_growth_percentile,channel_momentum_score
2026-05-22T12:02:39.617608+00:00,UCM55RjebjSevVWPnj2LEymw,viyaura,14,1099,0.05735,37.571429,1,29780,1,mo-wTwstyu4,Roblox Speed Draw but... #art #artist #draw #drawing,9038,58.119658,58.119658
2026-05-22T12:02:39.617608+00:00,UCVzLLZkDuFGAE2BGdBuBNBg,Bluey - Official Channel,1,9011,0.016151,37,1,9011,0,uvvc3AlsV4Q,Unicorse LOVES heavy metal!🎸🦄🤘| Bluey,9011,46.153846,46.153846
2026-05-22T12:02:39.617608+00:00,UCDVYQ4Zhbm3S2dlz7P1GBDg,NFL,7,2818,0.018338,29.857143,1,22360,1,6mawH6kI3u8,Last season for 8️⃣🖤,9008,54.273504,54.273504
2026-05-22T12:02:39.617608+00:00,UCLXo7UDZvByw2ixzpQCufnA,Vox,3,199,0.042234,86,0.333333,9159,0,cf48eRXPRYE,The Republican party and psychedelics,8899,46.581197,46.581197
2026-05-22T12:02:39.617608+00:00,UCTJXx9onKH6g4cWHS9pLqsQ,El HuffPost,19,41,0.018939,42.263158,1,11665,0,BoLko7pEusk,Euprepio Padula se fija en lo que dicen del juez que ha imputado a Zapatero y repara en un detalle,8466,49.145299,49.145299
2026-05-22T12:02:39.617608+00:00,UCcgVECVN4OKV6DH1jLkqmcA,Jake Paul,7,4362,0.021072,21.285714,1,32824,0,irsWejGXJEk,It’s everyday bro,8441,61.965812,61.965812
2026-05-22T12:02:39.617608+00:00,UChGJGhZ9SOOHvBB0Y4DOO_w,Ryan's World,13,3336,0.008148,26.923077,1,47504,2,IpExNoQRfqs,Emma and Mommy Play Viral Fishing Game!,7844,65.384615,65.384615
2026-05-22T12:02:39.617608+00:00,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,3,3066,0.018616,47.666667,1,11149,0,aJVHah_EAUs,MEN STRUGGLE WITH THIS,7690,48.290598,48.290598
2026-05-22T12:02:39.617608+00:00,UCfyehHM_eo4g5JUyWmms2LA,Sorted Food,4,566,0.019062,55.5,1,8193,1,qpWF7JaHIbM,Epic Toaster Challenge - 350 Slices of Toast!,7618,45.299145,45.299145
2026-05-22T12:02:39.617608+00:00,UCcHtke0raf8vNYLM1Hbq3Jw,Imagen Noticias,147,25.5,0.010514,62.959184,0.748299,39480,23,i7rw0Yyg1HI,¡Caos por lluvias en la Zona Metropolitana del Valle de México! | #Shorts | Nacho Lozano,7609,63.247863,63.247863
2026-05-22T12:02:39.617608+00:00,UC5PwIMtLiIBCBhsu8f_-6UQ,Santiago Bilinkis,10,120,0.047259,50.3,1,9729,1,IGCKBKoplVE,Subió a un avión con trabajo y aterrizó cancelada mundialmente,7358,47.008547,47.008547
