grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
weekly,2026-05-18,2026-05-24,UCknLrEdhRCp1aegoMqRaCZg,DW News,20,18,27927,266,46,0.024336,S9ddYsBLitA,Crew ejected during US air show collision | DW News,6407
weekly,2026-05-18,2026-05-24,UCrsyfsHNdpB5U_FHENCuB2A,El Cubil de Peter,1,1,27114,741,14,0.055169,jZVixFS9WlM,Encuentran DIENTE de NEANDERTAL que deja DESCONCERTADOS a los arqueologos #shorts,27114
weekly,2026-05-18,2026-05-24,UChhw6DlKKTQ9mYSpTfXUYqA,Starter Story,7,1,26505,500,4,0.025357,O12RoSwTum4,Genius app store keyword trick that made him $50K per month,15337
weekly,2026-05-18,2026-05-24,UCsN32BtMd0IoByjJRNF12cw,60 Minutes,53,53,26391,708,141,0.019302,6HBpYZ9kSI4,Netanyahu on declining U.S. support for Israel #shorts,6666
weekly,2026-05-18,2026-05-24,UCDK9qD5DAQML-pzrtA7A4oA,OfflineTV,2,2,25632,515,4,0.029478,XCl8XOIu5qY,It smelled good btw 🙂,13064
weekly,2026-05-18,2026-05-24,UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,4,4,24331,1514,24,0.112071,KpUycVAiDSM,ITZY “Motto” M/V TEASER 2,10661
weekly,2026-05-18,2026-05-24,UCTkXRDQl0luXxVQrRQvWS6w,Dream,1,1,21523,780,18,0.056571,G9I2qfuXIIg,Peaceful Mode...,21523
weekly,2026-05-18,2026-05-24,UCQX_MZRCaluNKxkywkLEgfA,Date un Vlog,5,0,20763,770,14,0.05217,kKkiGPUnIds,¿Un camión con antimateria?,5707
weekly,2026-05-18,2026-05-24,UCoMdktPbSTixAyNGwb-UYkQ,Sky News,21,19,19809,99,27,0.011366,dNS_5OYXFyQ,'No timetable' for Starmer departure,8272
weekly,2026-05-18,2026-05-24,UC4NALVCmcmL5ntpV0thoH6w,LooLoo Kids - Nursery Rhymes and Children's Songs,1,1,18689,174,0,0.007824,OSH4jRJWVYs,Surprise Eggs with Yummy Fruits! 🍎🌈 Fun for Kids,18689
weekly,2026-05-18,2026-05-24,UCYUQQgogVeQY8cMQamhHJcg,CinemaSins,10,10,15988,176,2,0.011974,58CV_fm_fGY,This sin is for ME! #theboxtrolls #cinemasins,7362
weekly,2026-05-18,2026-05-24,UCey-eDTR5J6xU6pZ2f4guoA,Adin Live,8,8,15686,322,17,0.02978,EKmCYxO4Ilk,ap is cooked 😭🍟 #adinross #adinkick #swatches #apwatch #watches #funny,5406
weekly,2026-05-18,2026-05-24,UCwd_qoS94df5orGoPLPnsxQ,Franco Pisso,8,1,15506,891,24,0.061808,ODGG9DFu1Y4,"Ahora en gráfico, a ver si lo entendés de una vez.",4719
weekly,2026-05-18,2026-05-24,UC4YImPQT-_0kCh5joATwyhw,Blippi en Español,2,2,14711,132,0,0.010098,EdBDy7csgQQ,A Blippi le gusta construir 🚧👷 #Videoseducativos #Blippi #Construcción,7548
weekly,2026-05-18,2026-05-24,UCYVinkwSX7szARULgYpvhLw,Ali-A,7,7,14623,227,2,0.02004,IditmgDZMAE,Can YOU Find Tung Tung Tung Sahur? 🔎,5763
weekly,2026-05-18,2026-05-24,UCoookXUzPciGrEZEXmh4Jjg,Sesame Street,1,1,14592,217,0,0.012715,mpCvxdi-cKM,Do the Rock Rock Rock Rock Rocco and Roll! 🎸 #sesamestreet,14592
weekly,2026-05-18,2026-05-24,UCY30JRSgfhYXA6i6xX1erWg,Smosh,2,2,14380,531,8,0.054514,cLzvUVY6TxI,This disguise is incredible,12255
weekly,2026-05-18,2026-05-24,UCyJbb85EUgWjl38GcF236Jg,Eva Maria Beristain,2,0,13576,387,9,0.026342,nZ4JI34_Q_g,Bts en México: de quién es culpa que haya sucedido esto?,13047
weekly,2026-05-18,2026-05-24,UC9vUu4vlIlMC0dHQCTvQPbg,The Money Guy Show,7,7,13479,170,10,0.015499,8GvKFSeOTD8,The Math Behind Becoming a Millionaire,6390
weekly,2026-05-18,2026-05-24,UCVzLLZkDuFGAE2BGdBuBNBg,Bluey - Official Channel,1,1,12701,178,0,0.016575,uvvc3AlsV4Q,Unicorse LOVES heavy metal!🎸🦄🤘| Bluey,12701
weekly,2026-05-18,2026-05-24,UC2iUwfYi_1FCGGqhOUNx-iA,ScreenRant,6,6,12580,137,3,0.016683,kTz8p1gnJW8,"Hollywood Is Already Being Changed by AI, and This Is Just the Beginning 👀🎬 #hollywood",7010
weekly,2026-05-18,2026-05-24,UC9MAhZQQd9egwWCxrwSIsJQ,HISTORY,10,10,11314,465,8,0.02455,_Ge0PjLjre8,The Era of Electricity Brought on So Much Danger! | Hazardous History | #Shorts,8532
weekly,2026-05-18,2026-05-24,UCqLiW00gUvXG0J5vlZZNJ1g,FranqitoM,1,0,11310,502,2,0.05988,U5l0Z8T4tCk,Spotify ?,11310
