execution_date,video_id,views_delta,likes_delta,comments_delta,previous_views,current_views,previous_likes,current_likes,previous_comments,current_comments,is_new_video,title_changed,description_changed,tags_changed
2026-05-05T10:56:54.483576+00:00,3W1KfxQnQiU,217,11,0,11067,11284,690,701,32,32,False,False,False,False
2026-05-05T10:56:54.483576+00:00,VKaslzzv1QM,510,7,0,97036,97546,3392,3399,206,206,False,False,False,False
2026-05-05T10:56:54.483576+00:00,E6IrH04B8wg,2,0,0,6388,6390,94,94,9,9,False,False,False,False
2026-05-05T10:56:54.483576+00:00,SYdW3cZKdmY,2,1,0,12937,12939,301,302,10,10,False,False,False,False
2026-05-05T10:56:54.483576+00:00,TSAh8dzN0cw,1,0,0,10788,10789,246,246,3,3,False,False,False,False
2026-05-05T10:56:54.483576+00:00,DHk0gFHyHeE,105,3,0,150438,150543,4638,4641,363,363,False,False,False,False
2026-05-05T10:56:54.483576+00:00,QSe13hyv68o,26,0,0,33443,33469,501,501,18,18,False,False,False,False
2026-05-05T10:56:54.483576+00:00,PZ2yduZysf0,1,0,0,5948,5949,168,168,7,7,False,False,False,False
2026-05-05T10:56:54.483576+00:00,Rdfd1KAX6NU,0,0,0,7554,7554,261,261,5,5,False,False,False,False
2026-05-05T10:56:54.483576+00:00,uAOfsghz2NY,2,0,0,28329,28331,231,231,12,12,False,False,False,False
2026-05-05T10:56:54.483576+00:00,qCFEWA_Nu3k,13,0,0,25026,25039,478,478,9,9,False,False,False,False
2026-05-05T10:56:54.483576+00:00,aNfOwttNQcg,1,0,0,4473,4474,115,115,2,2,False,False,False,False
2026-05-05T10:56:54.483576+00:00,Xq-4lUaLIp8,0,0,0,7671,7671,186,186,4,4,False,False,False,False
2026-05-05T10:56:54.483576+00:00,ZB9IMq0ee0k,18,0,0,66144,66162,2911,2911,177,177,False,False,False,False
2026-05-05T10:56:54.483576+00:00,Lw3RJgDjXh0,1,0,0,7298,7299,170,170,1,1,False,False,False,False
2026-05-05T10:56:54.483576+00:00,PiKd0maLI6o,2,0,0,10457,10459,611,611,8,8,False,False,False,False
2026-05-05T10:56:54.483576+00:00,mTqDtRTKvqE,1,0,0,6403,6404,221,221,18,18,False,False,False,False
2026-05-05T10:56:54.483576+00:00,BwIlVEvq7mU,4,0,0,6937,6941,142,142,8,8,False,False,False,False
2026-05-05T10:56:54.483576+00:00,lrl7lslhv2s,1,0,0,8675,8676,300,300,3,3,False,False,False,False
2026-05-05T10:56:54.483576+00:00,BPt0fwBCDbQ,395,2,0,372257,372652,4417,4419,112,112,False,False,False,False
2026-05-05T10:56:54.483576+00:00,EvauKuWaNmk,51,1,0,61071,61122,2823,2824,269,269,False,False,False,False
2026-05-05T10:56:54.483576+00:00,zEUstENVghI,47,3,0,12497,12544,418,421,34,34,False,False,False,False
2026-05-05T10:56:54.483576+00:00,Enic64S66_s,2,0,0,6086,6088,168,168,3,3,False,False,False,False
