grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
monthly,2026-05-01,2026-05-31,UC6n8I1UDTKP1IWjQMg6_TwA,The B1M,6,6,151425,4492,274,0.044503,d-LArPe1Rk0,Inside Berlin’s Abandoned Tegel Airport,117247
monthly,2026-05-01,2026-05-31,UC-eegKVWEgBCa4OzjnK_PtA,TLDR News EU,5,4,149145,4160,655,0.048167,cn8OmuELoHs,Why Giorgia Meloni Has Lasted So Long,98835
monthly,2026-05-01,2026-05-31,UCAuUUnT6oDeKwE6v1NGQxug,TED,12,12,143340,5990,160,0.042823,-YwzCOVeLEE,The Wildlife Sanctuary You Can Visit from Anywhere | Maya Higa | TED,60002
monthly,2026-05-01,2026-05-31,UCtT7zEoC9-HNyLYb8cYWoww,Ale Marin,9,8,141922,7519,581,0.075464,HB20PBw3C-0,MILO J ⚠️ Análisis SIN FILTRO | ¿Quién caraj es Milo J? | El artista más subestimado (y cancelado),45322
monthly,2026-05-01,2026-05-31,UC5PYHgAzJ1wLEidB58SK6Xw,Blippi - Educational Videos for Kids,3,3,139012,144,0,0.001905,9dUgp9ZC9mo,Blippi’s Best Dinosaur Adventures! 🦖Top 5 Special,64630
monthly,2026-05-01,2026-05-31,UCwd_qoS94df5orGoPLPnsxQ,Franco Pisso,4,1,134532,8515,518,0.092231,SWyHoj5CRqs,7 cosas que hacen los que SE HACEN RESPETAR (sin levantar la voz),57319
monthly,2026-05-01,2026-05-31,UCYcdw2wL6W6iGBKZgGK_Hjw,Folagor03,10,10,131281,5054,210,0.085506,cxPhEHOZ_Q8,Pokémon X DuoLocke Ep.1 - LOCKE HISTORICO,72431
monthly,2026-05-01,2026-05-31,UC_wSuaxwUYsJOBZDWwHIQZg,QuarterJade,9,9,126232,4060,28,0.044173,a5nmR7JV0XA,the one thing that can get between me and john,46972
monthly,2026-05-01,2026-05-31,UCUBIrDsIVzRpKsClMlSlTpQ,BBC News Mundo,17,17,124195,3153,130,0.039339,gCGuySh9Vv8,"Shakira gana batalla contra la Hacienda en España y recibirá US$69,8 millones",53130
monthly,2026-05-01,2026-05-31,UCqaOSuXiGdnuoqXBda-XD2A,Canal Once,151,143,120428,7364,331,0.049286,JrCIj033RGg,Operación Mamut - Juan Carlos Monedero y la otra España: la España progresista (17/05/2026),27138
monthly,2026-05-01,2026-05-31,UC4FHiPgS1KXkUMx3dxBUtPg,HolaMundo,6,5,119351,5701,217,0.059475,QBLH2Q3K_aE,Esta configuración de LINUX es BRUTAL!,36025
monthly,2026-05-01,2026-05-31,UCvksjnr7kInzcIjMpJpqF2A,Little Angel: Nursery Rhymes & Kids Songs,5,5,113698,41,0,0.002026,in0VNHdCeJA,Indoor Ball Pit Fun with Baby John! | Little Angel Nursery Rhymes & Kid Songs,77229
monthly,2026-05-01,2026-05-31,UCLsooMJoIpl_7ux2jvdPB-Q,Super Simple Songs - Kids Songs,1,1,112076,147,0,0.002235,8msljf_aMDs,Top 20 Family Songs | Super Simple’s 20th Anniversary! | Super Simple Songs,112076
monthly,2026-05-01,2026-05-31,UCChMGCqNLPD-QA5caC690aQ,dinosaur vlogs,2,2,110653,4971,56,0.069653,hrm9A-2zO2s,Dos adolescentes DESAPARECIERON en 1999… y una pista ignorada reveló la verdad años después,99033
monthly,2026-05-01,2026-05-31,UCMmaBzfCCwZ2KqaBJjkj0fw,Kings and Generals,7,7,109599,2885,200,0.052212,b6ap4aHztvY,How Persia outsmarted Rome for centuries #ancientrome #persia,44143
monthly,2026-05-01,2026-05-31,UC06rPIABrthG0hwLTVhINLA,ElMariana,1,1,107611,5053,53,0.058453,qey96t_SorQ,TODO LO QUE PASÓ EN YUCATÁN 😱,107611
monthly,2026-05-01,2026-05-31,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,1,1,106394,2876,361,0.039172,JpVtso3S9rM,54 Million…….,106394
monthly,2026-05-01,2026-05-31,UCbpMy0Fg74eXXkvxJrtEn3w,Bon Appétit,4,4,106339,1964,81,0.020895,ZcGIsiBdlH0,NYC's Hottest Steakhouse Only Has 10 Tables | On The Line | Bon Appétit,102052
monthly,2026-05-01,2026-05-31,UC-UcKEWOSpz0AfY33TrYw3g,Nekojitablog,1,1,106185,7536,543,0.106045,YLZwT_LIXVU,LA ESCASEZ DE PETRÓLEO AFECTA A JAPÓN,106185
