content_format,target,model_family,feature,feature_group,importance_type,importance_value,importance_rank,direction,notes
shorts,future_log_views_delta_7d,random_forest_regressor,hybrid_decision_score,model_decision,impurity_importance,0.00238269,6,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,metadata_changed,metadata,permutation_importance_mean,0.0,53,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,metadata_changed,metadata,permutation_importance_std,0.0,53,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,metadata_changed,metadata,impurity_importance,0.0,53,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,metric_confidence_score,engagement_context,permutation_importance_mean,0.01788636,3,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,metric_confidence_score,engagement_context,permutation_importance_std,0.00139569,3,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,metric_confidence_score,engagement_context,impurity_importance,0.00981881,3,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,news_semantic_score,semantic_scores,permutation_importance_mean,0.0,54,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,news_semantic_score,semantic_scores,permutation_importance_std,0.0,54,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,news_semantic_score,semantic_scores,impurity_importance,7e-08,54,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,opportunity_score,engagement_context,permutation_importance_mean,-0.00260834,5,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,opportunity_score,engagement_context,permutation_importance_std,7.959e-05,5,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,opportunity_score,engagement_context,impurity_importance,0.00389922,5,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,packaging_problem_score,engagement_context,permutation_importance_mean,0.00042315,10,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,packaging_problem_score,engagement_context,permutation_importance_std,0.0004891,10,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,packaging_problem_score,engagement_context,impurity_importance,0.0025232,10,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,productivity_semantic_score,semantic_scores,permutation_importance_mean,0.0,55,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,productivity_semantic_score,semantic_scores,permutation_importance_std,0.0,55,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,productivity_semantic_score,semantic_scores,impurity_importance,8.34e-06,55,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,promise_semantic_score,semantic_scores,permutation_importance_mean,-3.94e-06,43,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,promise_semantic_score,semantic_scores,permutation_importance_std,1.15e-06,43,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,promise_semantic_score,semantic_scores,impurity_importance,8.16e-06,43,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_id,semantic_cluster,permutation_importance_mean,-7.06e-06,39,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_id,semantic_cluster,permutation_importance_std,7.221e-05,39,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,semantic_cluster_id,semantic_cluster,impurity_importance,0.00033318,39,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_currency,title_style,permutation_importance_mean,0.0,56,positive,primary
