content_format,model_id,model_family,task_type,target,horizon,train_examples,validation_examples,precision_at_10,recall_at_10,roc_auc,pr_auc,brier_score,mae_log,rmse_log,spearman_corr,champion_metric,champion_metric_value,baseline_metric_value,lift_vs_best_baseline,selected_as_champion,interpretability_level,artifact_name,workflow_run_id,created_at
shorts,shorts-linear_regularized-is_top_growth_7d-20260706T141133Z,linear_regularized,classification,is_top_growth_7d,7d,18407,6136,1.0,0.010571,0.995655,0.976563,0.021445,,,,precision_at_10,1.0,-999.0,-999.0,True,high,,,2026-07-06T14:11:33.586292+00:00
shorts,shorts-random_forest-is_top_growth_7d-20260706T141133Z,random_forest,classification,is_top_growth_7d,7d,18407,6136,1.0,0.010571,0.98788,0.933884,0.039073,,,,precision_at_10,1.0,-999.0,-999.0,False,medium,,,2026-07-06T14:11:33.586292+00:00
shorts,shorts-shallow_tree-is_top_growth_7d-20260706T141133Z,shallow_tree,classification,is_top_growth_7d,7d,18407,6136,0.8,0.008457,0.961996,0.764866,0.058326,,,,precision_at_10,0.8,-0.2,-0.2,False,high,,,2026-07-06T14:11:33.586292+00:00
shorts,shorts-linear_regularized-future_log_views_delta_7d-20260706T141133Z,linear_regularized,regression,future_log_views_delta_7d,7d,18407,6136,,,,,,0.482355,0.672315,0.982532,spearman_corr,0.982532,0.394143,0.394143,True,high,,,2026-07-06T14:11:33.586292+00:00
shorts,shorts-random_forest-future_log_views_delta_7d-20260706T141133Z,random_forest,regression,future_log_views_delta_7d,7d,18407,6136,,,,,,0.682798,0.887975,0.958704,spearman_corr,0.958704,0.370315,0.370315,False,medium,,,2026-07-06T14:11:33.586292+00:00
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260706T141133Z,shallow_tree,regression,future_log_views_delta_7d,7d,18407,6136,,,,,,0.947385,1.222578,0.919583,spearman_corr,0.919583,0.331194,0.331194,False,high,,,2026-07-06T14:11:33.586292+00:00
