content_format,target,model_family,feature_group,group_importance,feature_count
shorts,future_engagement_delta_7d,shallow_tree_regressor,title_style,0.0,14
shorts,future_engagement_delta_7d,shallow_tree_regressor,topic_metrics,0.0,15
shorts,content_value_score_7d,random_forest_regressor,semantic_scores,0.00180546,9
shorts,content_value_score_7d,random_forest_regressor,engagement_context,0.18461683,14
shorts,content_value_score_7d,random_forest_regressor,channel_context,1.09789285,2
shorts,content_value_score_7d,random_forest_regressor,model_decision,0.0145662,2
shorts,content_value_score_7d,random_forest_regressor,metadata,0.0,1
shorts,content_value_score_7d,random_forest_regressor,semantic_cluster,0.00465101,8
shorts,content_value_score_7d,random_forest_regressor,title_style,0.01220938,14
shorts,content_value_score_7d,random_forest_regressor,topic_metrics,0.02323297,15
shorts,content_value_score_7d,linear_regularized_regressor,semantic_scores,6.22331841,9
shorts,content_value_score_7d,linear_regularized_regressor,engagement_context,30.21346516,14
shorts,content_value_score_7d,linear_regularized_regressor,channel_context,9.81527546,2
shorts,content_value_score_7d,linear_regularized_regressor,model_decision,4.18614257,2
shorts,content_value_score_7d,linear_regularized_regressor,metadata,0.02670217,1
shorts,content_value_score_7d,linear_regularized_regressor,semantic_cluster,2.31333245,8
shorts,content_value_score_7d,linear_regularized_regressor,title_style,5.83483406,14
shorts,content_value_score_7d,linear_regularized_regressor,topic_metrics,17.90842764,15
shorts,content_value_score_7d,shallow_tree_regressor,semantic_scores,0.0,9
shorts,content_value_score_7d,shallow_tree_regressor,engagement_context,0.04448422,14
shorts,content_value_score_7d,shallow_tree_regressor,channel_context,0.95026006,2
shorts,content_value_score_7d,shallow_tree_regressor,model_decision,0.00193155,2
shorts,content_value_score_7d,shallow_tree_regressor,metadata,0.0,1
shorts,content_value_score_7d,shallow_tree_regressor,semantic_cluster,0.0014058,8
shorts,content_value_score_7d,shallow_tree_regressor,title_style,0.0,14
shorts,content_value_score_7d,shallow_tree_regressor,topic_metrics,0.00191837,15
videos,future_log_views_delta_7d,random_forest_regressor,semantic_scores,3.938e-05,9
videos,future_log_views_delta_7d,random_forest_regressor,engagement_context,1.7811974,14
videos,future_log_views_delta_7d,random_forest_regressor,channel_context,0.06320776,2
videos,future_log_views_delta_7d,random_forest_regressor,model_decision,0.00412646,2
videos,future_log_views_delta_7d,random_forest_regressor,metadata,7.7e-07,1
videos,future_log_views_delta_7d,random_forest_regressor,semantic_cluster,5.298e-05,8
videos,future_log_views_delta_7d,random_forest_regressor,title_style,0.00013679,14
videos,future_log_views_delta_7d,random_forest_regressor,topic_metrics,8.627e-05,15
videos,future_log_views_delta_7d,linear_regularized_regressor,semantic_scores,0.54195974,9
videos,future_log_views_delta_7d,linear_regularized_regressor,engagement_context,6.40327907,14
videos,future_log_views_delta_7d,linear_regularized_regressor,channel_context,0.39223444,2
videos,future_log_views_delta_7d,linear_regularized_regressor,model_decision,0.94334957,2
videos,future_log_views_delta_7d,linear_regularized_regressor,metadata,0.01241203,1
videos,future_log_views_delta_7d,linear_regularized_regressor,semantic_cluster,2.19048369,8
videos,future_log_views_delta_7d,linear_regularized_regressor,title_style,2.49383908,14
videos,future_log_views_delta_7d,linear_regularized_regressor,topic_metrics,6.95300676,15
videos,future_log_views_delta_7d,shallow_tree_regressor,semantic_scores,0.0,9
videos,future_log_views_delta_7d,shallow_tree_regressor,engagement_context,0.98697127,14
videos,future_log_views_delta_7d,shallow_tree_regressor,channel_context,0.01302873,2
videos,future_log_views_delta_7d,shallow_tree_regressor,model_decision,0.0,2
videos,future_log_views_delta_7d,shallow_tree_regressor,metadata,0.0,1
videos,future_log_views_delta_7d,shallow_tree_regressor,semantic_cluster,0.0,8
videos,future_log_views_delta_7d,shallow_tree_regressor,title_style,0.0,14
videos,future_log_views_delta_7d,shallow_tree_regressor,topic_metrics,0.0,15
videos,future_relative_views_delta_7d,random_forest_regressor,semantic_scores,0.00300427,9
videos,future_relative_views_delta_7d,random_forest_regressor,engagement_context,0.16346593,14
videos,future_relative_views_delta_7d,random_forest_regressor,channel_context,1.77410095,2
videos,future_relative_views_delta_7d,random_forest_regressor,model_decision,0.00655426,2
videos,future_relative_views_delta_7d,random_forest_regressor,metadata,1.717e-05,1
videos,future_relative_views_delta_7d,random_forest_regressor,semantic_cluster,0.00147745,8
videos,future_relative_views_delta_7d,random_forest_regressor,title_style,0.02328562,14
videos,future_relative_views_delta_7d,random_forest_regressor,topic_metrics,0.00554202,15
videos,future_relative_views_delta_7d,linear_regularized_regressor,semantic_scores,126.27828912,9
videos,future_relative_views_delta_7d,linear_regularized_regressor,engagement_context,343.592713,14
videos,future_relative_views_delta_7d,linear_regularized_regressor,channel_context,81.20155338,2
videos,future_relative_views_delta_7d,linear_regularized_regressor,model_decision,32.74384487,2
videos,future_relative_views_delta_7d,linear_regularized_regressor,metadata,0.88713526,1
videos,future_relative_views_delta_7d,linear_regularized_regressor,semantic_cluster,201.43038387,8
videos,future_relative_views_delta_7d,linear_regularized_regressor,title_style,391.33299663,14
videos,future_relative_views_delta_7d,linear_regularized_regressor,topic_metrics,1015.84022155,15
