content_format,model_id,model_family,target,feature,direction,direction_score,direction_method,low_bin_prediction,high_bin_prediction,notes
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,metric_confidence_score,mixed,-0.076514,quantile_bins,0.300333,0.22382,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,channel_momentum_score,mixed,-0.109176,quantile_bins,0.278718,0.169542,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,channel_relative_success_score,positive,0.380241,quantile_bins,0.032923,0.413164,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,title_length_chars,negative,-0.225102,quantile_bins,0.318358,0.093256,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,has_number,positive,0.043512,quantile_bins,0.172875,0.216387,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,has_question,positive,0.033612,quantile_bins,0.176411,0.210023,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,has_ai_word,mixed,0.001538,quantile_bins,0.185823,0.187361,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,has_finance_word,flat,0.00837,quantile_bins,0.184261,0.192632,estimated from prediction behavior
shorts,shorts-shallow_tree-is_top_growth_7d-20260720T123812Z,shallow_tree,is_top_growth_7d,metadata_changed,flat,0.009757,quantile_bins,0.184195,0.193952,estimated from prediction behavior
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,views_delta,mixed,3.810143,quantile_bins,3.041395,6.851538,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,engagement_rate,positive,1.021976,quantile_bins,3.219321,4.241296,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,comment_rate,mixed,0.052384,quantile_bins,3.918863,3.971246,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,video_age_days,mixed,0.052384,quantile_bins,3.918863,3.971246,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,duration_bucket,mixed,0.052384,quantile_bins,3.918863,3.971246,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,alpha_score,positive,6.238042,quantile_bins,1.116694,7.354736,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,opportunity_score,positive,5.413659,quantile_bins,1.306496,6.720155,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,trend_burst_score,positive,1.209848,quantile_bins,3.650413,4.860261,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,evergreen_score,mixed,-0.07995,quantile_bins,3.962649,3.882698,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,packaging_problem_score,negative,-2.563784,quantile_bins,4.931223,2.36744,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,metric_confidence_score,mixed,-1.513218,quantile_bins,5.281615,3.768396,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,channel_momentum_score,mixed,-0.299198,quantile_bins,4.274539,3.975341,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,channel_relative_success_score,positive,4.059755,quantile_bins,2.04631,6.106065,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,title_length_chars,negative,-1.952528,quantile_bins,5.081269,3.128741,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,has_number,positive,0.364385,quantile_bins,3.805249,4.169633,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,has_question,positive,0.316526,quantile_bins,3.839035,4.155561,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,has_ai_word,mixed,-0.044388,quantile_bins,3.941008,3.89662,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,has_finance_word,mixed,0.031565,quantile_bins,3.926904,3.958469,direction estimated via directional analysis
shorts,shorts-random_forest-future_log_views_delta_7d-20260720T123812Z,random_forest,future_log_views_delta_7d,metadata_changed,mixed,0.06805,quantile_bins,3.916524,3.984573,direction estimated via directional analysis
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,views_delta,mixed,3.68936,quantile_bins,3.16578,6.85514,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,engagement_rate,mixed,1.233856,quantile_bins,3.126283,4.360139,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,comment_rate,mixed,0.072917,quantile_bins,3.999725,4.072642,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,video_age_days,mixed,0.072917,quantile_bins,3.999725,4.072642,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,duration_bucket,mixed,0.072917,quantile_bins,3.999725,4.072642,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,alpha_score,positive,6.466322,quantile_bins,1.084757,7.551079,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,opportunity_score,positive,5.788224,quantile_bins,1.24657,7.034793,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,trend_burst_score,positive,1.311355,quantile_bins,3.717965,5.02932,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,evergreen_score,mixed,-0.084968,quantile_bins,4.046259,3.961291,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,packaging_problem_score,negative,-2.308951,quantile_bins,4.865278,2.556327,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,metric_confidence_score,mixed,-1.451313,quantile_bins,5.327861,3.876548,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,channel_momentum_score,mixed,-0.270253,quantile_bins,4.358566,4.088313,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,channel_relative_success_score,positive,4.396726,quantile_bins,2.044484,6.44121,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,title_length_chars,negative,-1.857906,quantile_bins,5.099368,3.241463,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,has_number,positive,0.365941,quantile_bins,3.89545,4.261391,estimated from prediction behavior
