execution_date,entity_type,entity_id,signal_type,raw_signal_score,adjusted_signal_score,threshold,triggered,metric_confidence_score,confidence_level
2026-05-25T12:46:56.763303+00:00,video,--FeLbR4WnM,alpha_breakout,66.0947,63.7814,85.0,False,93.0,high
2026-05-25T12:46:56.763303+00:00,video,--FeLbR4WnM,trend_burst,0.0,0.0,80.0,False,93.0,high
2026-05-25T12:46:56.763303+00:00,video,--FeLbR4WnM,accelerating_video,41.9292,40.4617,70.0,False,93.0,high
2026-05-25T12:46:56.763303+00:00,video,--FeLbR4WnM,evergreen_candidate,0.0,0.0,75.0,False,93.0,high
2026-05-25T12:46:56.763303+00:00,video,--FeLbR4WnM,packaging_problem,44.8373,43.268,70.0,False,93.0,high
2026-05-25T12:46:56.763303+00:00,video,--FeLbR4WnM,metadata_change_watch,0.0,0.0,1.0,False,93.0,high
2026-05-25T12:46:56.763303+00:00,video,--FeLbR4WnM,high_engagement_low_reach,57.8165,55.7929,75.0,False,93.0,high
2026-05-25T12:46:56.763303+00:00,data_quality,--FeLbR4WnM,low_confidence_metric,7.0,6.755,40.0,False,93.0,high
2026-05-25T12:46:56.763303+00:00,video,--UCem2GYs4,alpha_breakout,50.8577,48.1876,85.0,False,89.5,high
2026-05-25T12:46:56.763303+00:00,video,--UCem2GYs4,trend_burst,0.0,0.0,80.0,False,89.5,high
2026-05-25T12:46:56.763303+00:00,video,--UCem2GYs4,accelerating_video,41.9292,39.7279,70.0,False,89.5,high
2026-05-25T12:46:56.763303+00:00,video,--UCem2GYs4,evergreen_candidate,0.0,0.0,75.0,False,89.5,high
2026-05-25T12:46:56.763303+00:00,video,--UCem2GYs4,packaging_problem,0.0,0.0,70.0,False,89.5,high
2026-05-25T12:46:56.763303+00:00,video,--UCem2GYs4,metadata_change_watch,0.0,0.0,1.0,False,89.5,high
2026-05-25T12:46:56.763303+00:00,video,--UCem2GYs4,high_engagement_low_reach,23.809,22.559,75.0,False,89.5,high
2026-05-25T12:46:56.763303+00:00,data_quality,--UCem2GYs4,low_confidence_metric,10.5,9.9488,40.0,False,89.5,high
2026-05-25T12:46:56.763303+00:00,video,--h2Fb-yWe0,alpha_breakout,43.2303,41.7173,85.0,False,93.0,high
2026-05-25T12:46:56.763303+00:00,video,--h2Fb-yWe0,trend_burst,0.0,0.0,80.0,False,93.0,high
2026-05-25T12:46:56.763303+00:00,video,--h2Fb-yWe0,accelerating_video,96.6728,93.2893,70.0,True,93.0,high
2026-05-25T12:46:56.763303+00:00,video,--h2Fb-yWe0,evergreen_candidate,0.0,0.0,75.0,False,93.0,high
2026-05-25T12:46:56.763303+00:00,video,--h2Fb-yWe0,packaging_problem,41.7432,40.2822,70.0,False,93.0,high
2026-05-25T12:46:56.763303+00:00,video,--h2Fb-yWe0,metadata_change_watch,0.0,0.0,1.0,False,93.0,high
2026-05-25T12:46:56.763303+00:00,video,--h2Fb-yWe0,high_engagement_low_reach,48.777,47.0698,75.0,False,93.0,high
2026-05-25T12:46:56.763303+00:00,data_quality,--h2Fb-yWe0,low_confidence_metric,7.0,6.755,40.0,False,93.0,high
2026-05-25T12:46:56.763303+00:00,video,--hvu38U4zI,alpha_breakout,36.1194,33.591,85.0,False,86.0,high
2026-05-25T12:46:56.763303+00:00,video,--hvu38U4zI,trend_burst,42.7863,39.7913,80.0,False,86.0,high
2026-05-25T12:46:56.763303+00:00,video,--hvu38U4zI,accelerating_video,41.9292,38.9941,70.0,False,86.0,high
2026-05-25T12:46:56.763303+00:00,video,--hvu38U4zI,evergreen_candidate,0.0,0.0,75.0,False,86.0,high
2026-05-25T12:46:56.763303+00:00,video,--hvu38U4zI,packaging_problem,0.0,0.0,70.0,False,86.0,high
2026-05-25T12:46:56.763303+00:00,video,--hvu38U4zI,metadata_change_watch,0.0,0.0,1.0,False,86.0,high
2026-05-25T12:46:56.763303+00:00,video,--hvu38U4zI,high_engagement_low_reach,20.993,19.5235,75.0,False,86.0,high
2026-05-25T12:46:56.763303+00:00,data_quality,--hvu38U4zI,low_confidence_metric,14.0,13.02,40.0,False,86.0,high
