process_id,name,domain,process_type,cadence,dashboard_tab,impact_type,status,last_run_at,is_stale
cli_build_pages_dashboard,Build pages dashboard,publishing,cli,after_operations,NLP,publication,not_initialized,,False
cli_build_pages_dashboard,Build pages dashboard,publishing,cli,after_operations,Content Drivers,publication,not_initialized,,False
cli_build_pages_dashboard,Build pages dashboard,publishing,cli,after_operations,Creative,publication,not_initialized,,False
cli_build_pages_dashboard,Build pages dashboard,publishing,cli,after_operations,Brief,publication,not_initialized,,False
cli_build_pages_dashboard,Build pages dashboard,publishing,cli,after_operations,Operations,observability,not_initialized,,False
cli_build_operations,Build operations telemetry,operations,cli,after_pipeline_or_before_pages,Operations,observability,success,2026-07-27T13:31:25.680329+00:00,False
cli_build_model_dataset,Build model dataset,ml,cli,before_model_training,Models,derived_signal,success,2026-07-27T13:30:18.243506+00:00,False
cli_build_model_dataset,Build model dataset,ml,cli,before_model_training,Operations,observability,success,2026-07-27T13:30:18.243506+00:00,False
cli_analyze_model_readiness,Analyze model readiness,ml,cli,before_model_training,Models,derived_signal,stale,2026-07-20T12:34:02+00:00,True
cli_analyze_model_readiness,Analyze model readiness,ml,cli,before_model_training,Operations,observability,stale,2026-07-20T12:34:02+00:00,True
cli_train_model_suite,Train model suite,ml,cli,twice_weekly,Models,derived_signal,success,2026-07-27T13:30:18.161505+00:00,False
cli_train_model_suite,Train model suite,ml,cli,twice_weekly,Operations,observability,success,2026-07-27T13:30:18.161505+00:00,False
cli_predict_with_model_artifact,Predict with model artifact,ml,cli,after_model_training,Models,derived_signal,stale,2026-07-20T12:40:24.631393+00:00,True
cli_predict_with_model_artifact,Predict with model artifact,ml,cli,after_model_training,Operations,observability,stale,2026-07-20T12:40:24.631393+00:00,True
cli_select_transcription_candidates,Select transcription candidates,transcription,cli,daily_after_monitor,Creative,derived_signal,stale,2026-07-18T17:17:00.410891+00:00,True
cli_select_transcription_candidates,Select transcription candidates,transcription,cli,daily_after_monitor,Operations,observability,stale,2026-07-18T17:17:00.410891+00:00,True
cli_extract_heatmaps,Extract public heatmaps,transcription,cli,daily_after_transcripts,Creative,derived_signal,success,2026-07-27T13:31:24.390321+00:00,False
cli_extract_heatmaps,Extract public heatmaps,transcription,cli,daily_after_transcripts,Operations,observability,success,2026-07-27T13:31:24.390321+00:00,False
cli_transcribe_selected_videos,Transcribe selected videos,transcription,cli,local_manual_or_scheduled,Creative,derived_signal,stale,2026-07-18T17:18:26.611773+00:00,True
cli_transcribe_selected_videos,Transcribe selected videos,transcription,cli,local_manual_or_scheduled,Operations,observability,stale,2026-07-18T17:18:26.611773+00:00,True
cli_generate_transcript_insights,Generate transcript insights,transcription,cli,local_manual_or_scheduled,Creative,derived_signal,stale,2026-07-18T17:19:55.342274+00:00,True
cli_generate_transcript_insights,Generate transcript insights,transcription,cli,local_manual_or_scheduled,Operations,observability,stale,2026-07-18T17:19:55.342274+00:00,True
cli_transcript_registry_report,Transcript registry report,transcription,cli,local_manual_or_scheduled,Operations,observability,success,2026-07-27T13:30:18.612530+00:00,False
local_transcription_automation,Local transcription automation,local,local_automation,every_6_hours_0920_1520_2120_with_logon_catchup,Creative,workflow,skipped,,False
local_transcription_automation,Local transcription automation,local,local_automation,every_6_hours_0920_1520_2120_with_logon_catchup,Operations,observability,skipped,,False
local_repo_sync,Local repo sync,local,local_automation,every_6_hours_0900_1500_2100_with_logon_catchup,Operations,observability,skipped,,False
local_play_automation,Local manual play automation,local,local_automation,manual_desktop_shortcut,Operations,observability,skipped,,False
local_forced_transcription_360d_play,Local forced transcription 360d play,local,local_automation,manual_desktop_shortcut,Operations,observability,skipped,,False
