video_id,hybrid_decision_score,model_score_percentile,model_score,prediction_rank,decision_score,confidence_level
zEUstENVghI,31.9528,0.0,0.0,,79.8821,high
fRjAMALJ0r0,31.7838,0.0,0.0,,79.4596,high
GfSGy5C1OIA,31.0603,0.0,0.0,,77.6508,high
kp1dLUox9_Y,30.8923,0.0,0.0,,77.2308,high
uAOfsghz2NY,30.4732,0.0,0.0,,76.1829,high
HOwVuamQvTc,30.4085,0.0,0.0,,76.0212,high
5DilrEUdYnY,30.184,0.0,0.0,,75.4601,high
9pPCy9wqxuk,30.0242,0.0,0.0,,75.0606,high
YldxYShWvGE,29.9527,0.0,0.0,,74.8818,high
Qy_YMLKX8bQ,29.8788,0.0,0.0,,74.6969,high
6AKlPLtjBR8,29.7836,0.0,0.0,,74.4591,high
9Ke8dmefEqo,29.6546,0.0,0.0,,74.1365,high
N14hiQw7Wdk,29.6068,0.0,0.0,,74.0169,high
QduEFho6dLg,29.5201,0.0,0.0,,73.8003,high
YPM2Fep2P3A,29.4732,0.0,0.0,,73.6829,high
Um1DSnUqmko,29.2357,0.0,0.0,,73.0892,high
f2fDaAMvlV4,28.9973,0.0,0.0,,72.4933,high
XoY4BiK1WW8,28.8248,0.0,0.0,,72.062,high
0t118SCf-2w,28.2818,0.0,0.0,,70.7044,high
sujVZ7316qo,28.0118,0.0,0.0,,70.0294,high
AxHTi--S-sU,27.6433,0.0,0.0,,69.1083,high
iPg5fXvAqqo,27.6323,0.0,0.0,,69.0807,high
erf6YdpSakA,27.6263,0.0,0.0,,69.0657,high
CzIJ566XexE,27.5966,0.0,0.0,,68.9914,high
_QHAqfILwPk,27.5683,0.0,0.0,,68.9208,high
pgFxsauDXjc,27.2949,0.0,0.0,,68.2373,high
ZgcrZ8qm0-w,27.2619,0.0,0.0,,68.1548,high
OTt76d3wPiQ,26.9957,0.0,0.0,,67.4893,medium
mPbb2Gk3fr4,26.8305,0.0,0.0,,67.0762,high
pVXm6lt1F7w,26.715,0.0,0.0,,66.7876,high
weyrpnOTB-A,26.6397,0.0,0.0,,66.5993,high
Z-xAO96GQtU,26.5421,0.0,0.0,,66.3553,high
gpfhjHmbmIE,26.4792,0.0,0.0,,66.1981,medium
-wkZoxeFIpM,26.3645,0.0,0.0,,65.9113,high
V4tlvp9IP_8,26.3165,0.0,0.0,,65.7913,high
6dt3fd17_d0,26.2716,0.0,0.0,,65.6791,medium
9361MUAmA24,26.2338,0.0,0.0,,65.5845,high
xpf49h0tGvI,26.0211,0.0,0.0,,65.0528,high
woNfdYrmVGw,25.937,0.0,0.0,,64.8425,high
nZlhHf8vSbU,25.896,0.0,0.0,,64.7401,high
oXKkhajzwgE,25.8796,0.0,0.0,,64.6991,high
I66LDF9iWts,25.863,0.0,0.0,,64.6576,high
LikC_lxkVEg,25.8131,0.0,0.0,,64.5327,high
KKq5yX8mrw0,25.7292,0.0,0.0,,64.3231,high
_BhjwaNE8mc,25.6801,0.0,0.0,,64.2003,high
oOLYgK6RqS4,25.667,0.0,0.0,,64.1675,high
UN6X2Jj-qrQ,25.6643,0.0,0.0,,64.1607,high
yawQxLw0K08,25.627,0.0,0.0,,64.0674,high
OkVrrVAG9yg,25.6145,0.0,0.0,,64.0362,high
uZ6Nbwp8GtU,25.5064,0.0,0.0,,63.7659,high
5BbGrGFI2gQ,25.4803,0.0,0.0,,63.7008,high
t3oZncJYgwE,25.4578,0.0,0.0,,63.6445,high
oeymdn1d4qg,25.3656,0.0,0.0,,63.4141,high
Xcmg2noBQOw,25.3546,0.0,0.0,,63.3864,high
tysrC1PivVE,25.2968,0.0,0.0,,63.242,high
PMX-urJB7uw,25.2574,0.0,0.0,,63.1435,high
zzsUsCRoGcI,25.2557,0.0,0.0,,63.1393,high
seu69-hMmGw,25.2384,0.0,0.0,,63.096,high
SZLTZDoVcfA,25.2376,0.0,0.0,,63.0939,high
FHeTJmwxo5s,25.1911,0.0,0.0,,62.9778,high
RBz3O-4xBYE,25.1777,0.0,0.0,,62.9443,high
KppJdbUvqp8,25.1698,0.0,0.0,,62.9244,high
IrefshwOoX8,25.1537,0.0,0.0,,62.8842,high
LQd65ctML6o,25.107,0.0,0.0,,62.7674,high
3wJvtiigDcg,25.0746,0.0,0.0,,62.6864,high
Ux-bi7bqrUU,25.0672,0.0,0.0,,62.668,high
AYIqxqyY-es,25.0478,0.0,0.0,,62.6194,high
Xshu2lM5PZE,25.0112,0.0,0.0,,62.5279,high
96k8OXI58Ko,24.9861,0.0,0.0,,62.4652,high
2q62qBqugJE,24.9738,0.0,0.0,,62.4344,high
1c8cpHNlIb8,24.9689,0.0,0.0,,62.4222,high
MnlZeYcfowk,24.9542,0.0,0.0,,62.3854,high
uHx1N_qFfTw,24.9157,0.0,0.0,,62.2892,high
AWWSm291p7c,24.8929,0.0,0.0,,62.2323,high
1WQetpMA8-k,24.8269,0.0,0.0,,62.0672,high
KW2YQ1C0ECs,24.8191,0.0,0.0,,62.0477,high
vd8fb3noIgY,24.8086,0.0,0.0,,62.0214,high
waOGddip3Wk,24.7835,0.0,0.0,,61.9588,high
jcfifYFAdpM,24.7796,0.0,0.0,,61.9489,high
jKwIvjb9kgM,24.7412,0.0,0.0,,61.8531,high
8mnzaIML2AM,24.7194,0.0,0.0,,61.7984,high
hx45I5QyAFw,24.7102,0.0,0.0,,61.7756,high
50Esq3fgXzA,24.6776,0.0,0.0,,61.694,high
-ZL_mpjxaUo,24.6372,0.0,0.0,,61.593,high
PfdNPN9Jv6s,24.6214,0.0,0.0,,61.5536,high
xL5gZGVPjnQ,24.6054,0.0,0.0,,61.5136,high
-8Xee3Y4Yeg,24.5857,0.0,0.0,,61.4643,high
4NHnN9EmDk0,24.5576,0.0,0.0,,61.3941,high
2NMgx26Y-Bk,24.4985,0.0,0.0,,61.2462,high
8ImVuaOhTf4,24.4708,0.0,0.0,,61.1771,high
dIwCndpKuSE,24.4673,0.0,0.0,,61.1683,high
raie7EtagZk,24.4657,0.0,0.0,,61.1643,high
wFTojQEC2eE,24.4019,0.0,0.0,,61.0048,high
