execution_date,channel_id,channel_name,videos_tracked,median_views_delta,median_engagement_rate,avg_duration_seconds,shorts_ratio,total_views_delta,new_videos,top_video_id,top_video_title,top_video_views_delta,channel_growth_percentile,channel_momentum_score
2026-05-18T12:49:30.314781+00:00,UCM-GvgUy0EAZU7ZwXKLarkg,López-Dóriga,30,12,0.037434,1810.533333,0,11913,0,6Fdcg9KFSMg,Era inevitable la salida de Víctor Rodríguez Padilla de Pemex.,3305,50.131926,50.131926
2026-05-18T12:49:30.314781+00:00,UCKAqou7V9FAWXpZd9xtOg3Q,Little Baby Bum - Nursery Rhymes & Kids Songs,3,2709,0.002503,207.333333,0,7147,0,H8pwKFW7-Dc,Water Experiment 💧🧊 Science is Fun! | Little Baby Bum,3260,41.952507,41.952507
2026-05-18T12:49:30.314781+00:00,UC9vUu4vlIlMC0dHQCTvQPbg,The Money Guy Show,5,224,0.028607,2058.8,0,4612,0,B5tNY0N-7AY,7 Cashflow Milestones Worth Celebrating (2026 Edition),3222,34.036939,34.036939
2026-05-18T12:49:30.314781+00:00,UCtu2BCnJoFGRBOuIh570QWw,Sodapoppin,3,515,0.023347,1464,0,4240,0,AeNVZ22HacI,I Fought 99 Viewers in Backpack Battles..,3214,32.189974,32.189974
2026-05-18T12:49:30.314781+00:00,UCtvu0f5wRLBRYISBw_3NDsg,Fuera de Foco,4,1152,0.072327,471,0,5999,0,1jd2eklNCbI,¡QUE RARA PELÍCULA VI EN CANNES!,3123,38.78628,38.78628
2026-05-18T12:49:30.314781+00:00,UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,4,1791.5,0.047053,20640.5,0,6668,0,gh2_PhgZGsM,Claude Code for Beginners Tutorial [Full Course],3070,41.16095,41.16095
2026-05-18T12:49:30.314781+00:00,UC88lvyJe7aHZmcvzvubDFRg,Timeline - World History Documentaries,4,770.5,0.024602,4199.25,0,4781,0,-5AH816R3oY,Forensic Geologist Investigates America's Most Enduring Mysteries,3055,35.356201,35.356201
2026-05-18T12:49:30.314781+00:00,UChXKjLEzAB1K7EZQey7Fm1Q,Pokimane,1,3043,0.076484,1167,0,3043,0,3p4VWK0MP1U,"pov: a week in pokimane's life (first commercial, podcast breakup, workouts)",3043,27.440633,27.440633
2026-05-18T12:49:30.314781+00:00,UCCuNpAi5cNF4x-hcW2qawhw,Cristinini,1,3037,0.046644,153,0,3037,0,ffqFlTgFZLM,RESOLVIENDO un MURDOKU 🕵️🔎 #murdoku #pasatiempo #murdle #logica #juegosdemesa,3037,27.176781,27.176781
2026-05-18T12:49:30.314781+00:00,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,5,149,0.028569,622,0,3733,0,rrylSizvnSg,Claude Just Got a Superpower No One's Talking About,3005,30.079156,30.079156
2026-05-18T12:49:30.314781+00:00,UC-J-KZfRV8c13fOCkhXdLiQ,Dua Lipa,1,2852,0.109261,87,0,2852,0,pwNa-5JWtAU,LIVE FROM MEXICO! The tour film out May 21st 6pm (BST) AND the live album out May 22nd!!!,2852,26.385224,26.385224
2026-05-18T12:49:30.314781+00:00,UC2D2CMWXMOVWx7giW1n3LIg,Andrew Huberman,3,2504.5,0.037039,6631.333333,0,5009,1,e89rVf4Pf0k,Master Self Control & Overcome Procrastination | Dr. Kentaro Fujita,2833,35.883905,35.883905
2026-05-18T12:49:30.314781+00:00,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,3,1340,0.037028,998.666667,0,4106,0,uGwDuvSqgYI,Claude Cowork Fundamentals In 22 Minutes,2746,31.662269,31.662269
2026-05-18T12:49:30.314781+00:00,UCbx_d228PdYwgB4Jz202SIQ,Gentleman Programming,2,1383.5,0.07308,1533.5,0,2767,0,5Q7jV8TpMXA,El PADRE de todos los CURSOS de IA: 20 Agent Harnesses para programar con disciplina,2719,25.593668,25.593668
2026-05-18T12:49:30.314781+00:00,UCFBpVaKCC0ajGps1vf0AgBg,Humphrey Yang,16,479.5,0.021171,273.6875,0,11674,0,rIi3YI0zmNI,Never Finance A Car This Way (2026),2691,49.604222,49.604222
2026-05-18T12:49:30.314781+00:00,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,26,44.5,0.009095,2490.346154,0,11333,0,8EvIfu20R00,Roma children make history by performing Roma hymn at Hungarian parliament,2578,48.812665,48.812665
