execution_date,video_id,views_delta,likes_delta,comments_delta,previous_views,current_views,previous_likes,current_likes,previous_comments,current_comments,is_new_video,title_changed,description_changed,tags_changed
2026-04-30T11:10:02.884862+00:00,3W1KfxQnQiU,1343,65,2,6511,7854,465,530,24,26,False,False,False,False
2026-04-30T11:10:02.884862+00:00,VKaslzzv1QM,8147,193,13,75499,83646,2884,3077,184,197,False,False,False,False
2026-04-30T11:10:02.884862+00:00,E6IrH04B8wg,173,-1,1,5887,6060,92,91,8,9,False,False,False,False
2026-04-30T11:10:02.884862+00:00,SYdW3cZKdmY,465,13,0,11299,11764,276,289,7,7,False,False,False,False
2026-04-30T11:10:02.884862+00:00,TSAh8dzN0cw,102,1,0,10481,10583,240,241,3,3,False,False,False,False
2026-04-30T11:10:02.884862+00:00,DHk0gFHyHeE,2031,31,1,144428,146459,4516,4547,359,360,False,False,False,False
2026-04-30T11:10:02.884862+00:00,QSe13hyv68o,2376,31,1,28260,30636,438,469,16,17,False,False,False,False
2026-04-30T11:10:02.884862+00:00,PZ2yduZysf0,73,2,0,5778,5851,166,168,7,7,False,False,False,False
2026-04-30T11:10:02.884862+00:00,Rdfd1KAX6NU,95,3,1,7330,7425,257,260,4,5,False,False,False,False
2026-04-30T11:10:02.884862+00:00,uAOfsghz2NY,1323,8,1,26382,27705,219,227,11,12,False,False,False,False
2026-04-30T11:10:02.884862+00:00,qCFEWA_Nu3k,338,7,0,24233,24571,464,471,9,9,False,False,False,False
2026-04-30T11:10:02.884862+00:00,aNfOwttNQcg,113,2,0,4251,4364,112,114,2,2,False,False,False,False
2026-04-30T11:10:02.884862+00:00,Xq-4lUaLIp8,240,6,0,7289,7529,178,184,4,4,False,False,False,False
2026-04-30T11:10:02.884862+00:00,ZB9IMq0ee0k,457,8,1,64949,65406,2880,2888,176,177,False,False,False,False
2026-04-30T11:10:02.884862+00:00,Lw3RJgDjXh0,50,0,0,7180,7230,169,169,1,1,False,False,False,False
2026-04-30T11:10:02.884862+00:00,PiKd0maLI6o,106,2,0,10171,10277,605,607,8,8,False,False,False,False
2026-04-30T11:10:02.884862+00:00,mTqDtRTKvqE,57,2,0,6282,6339,218,220,18,18,False,False,False,False
2026-04-30T11:10:02.884862+00:00,BwIlVEvq7mU,53,0,0,6782,6835,139,139,8,8,False,False,False,False
2026-04-30T11:10:02.884862+00:00,lrl7lslhv2s,83,2,0,8489,8572,295,297,3,3,False,False,False,False
2026-04-30T11:10:02.884862+00:00,BPt0fwBCDbQ,36783,425,15,285332,322115,3427,3852,89,104,False,False,False,False
2026-04-30T11:10:02.884862+00:00,EvauKuWaNmk,521,15,1,59241,59762,2776,2791,266,267,False,False,False,False
2026-04-30T11:10:02.884862+00:00,zEUstENVghI,589,10,0,11436,12025,391,401,31,31,False,False,False,False
2026-04-30T11:10:02.884862+00:00,Enic64S66_s,20,1,0,6031,6051,167,168,3,3,False,False,False,False
2026-04-30T11:10:02.884862+00:00,YldxYShWvGE,29,0,0,7115,7144,148,148,2,2,False,False,False,False
2026-04-30T11:10:02.884862+00:00,QeK4l-iH51Y,23,0,0,4342,4365,152,152,4,4,False,False,False,False
2026-04-30T11:10:02.884862+00:00,tqD_yn5Y_zQ,21,0,0,4003,4024,67,67,1,1,False,False,False,False
2026-04-30T11:10:02.884862+00:00,VjqsnOrW3AM,7199,195,8,85265,92464,2074,2269,74,82,False,False,False,False
2026-04-30T11:10:02.884862+00:00,sjbKZ4CY1Ow,7127,96,2,108261,115388,1834,1930,113,115,False,False,False,False
2026-04-30T11:10:02.884862+00:00,iaYdIU5n6vw,53720,996,231,585533,639253,10996,11992,1756,1987,False,False,False,False
2026-04-30T11:10:02.884862+00:00,Fy8H9I2kJkI,8962,142,4,302038,311000,4747,4889,277,281,False,False,False,False
2026-04-30T11:10:02.884862+00:00,AVyYMXc_t9s,1139,43,6,4748,5887,347,390,26,32,False,False,False,False
2026-04-30T11:10:02.884862+00:00,HOwVuamQvTc,711,60,1,4969,5680,268,328,9,10,False,False,False,False
2026-04-30T11:10:02.884862+00:00,k0ZYVWoVWAc,1201,22,7,17316,18517,810,832,179,186,False,False,False,False
2026-04-30T11:10:02.884862+00:00,ra8QknbAJs4,194,1,0,4734,4928,171,172,6,6,False,False,False,False
2026-04-30T11:10:02.884862+00:00,TpncXdKNLTQ,288,1,0,4038,4326,137,138,4,4,False,False,False,False
2026-04-30T11:10:02.884862+00:00,7m9uIc31Egw,1229,31,1,4028,5257,184,215,5,6,False,False,False,False
2026-04-30T11:10:02.884862+00:00,q__FKs64J28,83,1,0,3147,3230,169,170,2,2,False,False,False,False
2026-04-30T11:10:02.884862+00:00,C9V8L2emj9M,17,0,0,3776,3793,194,194,0,0,False,False,False,False
2026-04-30T11:10:02.884862+00:00,EZLeWRbCEbA,1415,41,4,32820,34235,1353,1394,77,81,False,False,False,False
2026-04-30T11:10:02.884862+00:00,QduEFho6dLg,160,11,0,8523,8683,513,524,29,29,False,False,False,False
2026-04-30T11:10:02.884862+00:00,ZhRgnBzcYHQ,5095,258,7,25449,30544,1970,2228,71,78,False,False,False,False
2026-04-30T11:10:02.884862+00:00,6WqWhSmCbXk,9005,303,19,73762,82767,3017,3320,150,169,False,False,False,False
2026-04-30T11:10:02.884862+00:00,pdNaIhcp3z4,3871,110,6,17377,21248,959,1069,69,75,False,False,False,False
2026-04-30T11:10:02.884862+00:00,_BHe9R7pYNw,348,17,0,6831,7179,505,522,34,34,False,False,False,False
2026-04-30T11:10:02.884862+00:00,5Z4z2oEoxw8,1000,32,3,26529,27529,1495,1527,71,74,False,False,False,False
2026-04-30T11:10:02.884862+00:00,0O8CF6F7CVs,0,0,0,0,0,0,0,0,0,False,False,False,False
2026-04-30T11:10:02.884862+00:00,7Ocx3WwDK_c,239,4,0,3661,3900,167,171,6,6,False,False,False,False
2026-04-30T11:10:02.884862+00:00,Cp3DxMyEBIM,19128,406,47,82269,101397,2056,2462,176,223,False,False,False,False
2026-04-30T11:10:02.884862+00:00,M_FKC2NTb24,2834,33,1,17111,19945,411,444,6,7,False,False,False,False
2026-04-30T11:10:02.884862+00:00,5zwotvZ1rl0,684,14,1,10269,10953,258,272,34,35,False,False,False,False
2026-04-30T11:10:02.884862+00:00,F1D4G7VTBnY,51,0,0,3780,3831,167,167,1,1,False,False,False,False
2026-04-30T11:10:02.884862+00:00,kp1dLUox9_Y,401,3,0,20120,20521,890,893,27,27,False,False,False,False
2026-04-30T11:10:02.884862+00:00,FR04V2DkErI,33,1,0,2219,2252,106,107,0,0,False,False,False,False
2026-04-30T11:10:02.884862+00:00,raie7EtagZk,377,8,0,9899,10276,931,939,8,8,False,False,False,False
2026-04-30T11:10:02.884862+00:00,2Z1aJVGA1-M,57,3,0,7205,7262,298,301,8,8,False,False,False,False
2026-04-30T11:10:02.884862+00:00,6cUe6qrXxJU,314,0,0,14557,14871,507,507,10,10,False,False,False,False
2026-04-30T11:10:02.884862+00:00,5DilrEUdYnY,14,1,0,4651,4665,353,354,4,4,False,False,False,False
2026-04-30T11:10:02.884862+00:00,Nq-c06vj5PM,1108,29,1,21463,22571,675,704,109,110,False,False,False,False
2026-04-30T11:10:02.884862+00:00,7u0DJM1SNPs,703,8,1,19716,20419,344,352,7,8,False,False,False,False
2026-04-30T11:10:02.884862+00:00,FAerQflosns,44,1,0,7763,7807,288,289,12,12,False,False,False,False
2026-04-30T11:10:02.884862+00:00,l8F9Omk197E,28,1,0,8925,8953,281,282,5,5,False,False,False,False
2026-04-30T11:10:02.884862+00:00,IwjPma4PPTM,4564,192,10,62263,66827,3668,3860,105,115,False,False,False,False
2026-04-30T11:10:02.884862+00:00,XXZ2wOom1l0,6002,211,6,73947,79949,3808,4019,118,124,False,True,False,False
