content_format,video_id,hybrid_decision_score,model_score_percentile,model_score,prediction_rank,decision_score,confidence_level
shorts,7eJtgn-ZUCw,37.541,17.7149,8.35e-06,4711,67.2802,high
shorts,DL5RbosiNvM,37.5367,62.5611,0.02478938,2144,0.0,
shorts,_euxVuCw_Cc,37.5262,62.5437,0.02454877,2145,0.0,
shorts,ZUjeW6BGBJU,37.5157,62.5262,0.02454812,2146,0.0,
shorts,GIgxDFyNhUg,37.5052,62.5087,0.02454191,2147,0.0,
shorts,5DAgMtNrC7E,37.4948,62.4913,0.02428762,2148,0.0,
shorts,BVA0aG1Ipis,37.4843,62.4738,0.02419468,2149,0.0,
shorts,Cbfi_2B8EDo,37.4738,62.4563,0.02410027,2150,0.0,
shorts,_7wkQHhLLaU,37.4633,62.4389,0.02397875,2151,0.0,
shorts,qJBaZOj0ERI,37.4423,62.4039,0.02389477,2153,0.0,
shorts,iY0N2tAyDGU,37.4318,62.3864,0.02389353,2154,0.0,
shorts,9E1UJ1ea4NE,37.4281,26.0133,4.481e-05,4236,54.5504,high
shorts,IKFpRNjljOE,37.4214,62.369,0.02383639,2155,0.0,
shorts,z2Y4_cDvEYc,37.4109,62.3515,0.02374134,2156,0.0,
shorts,QM5HqmEfYgM,37.4004,62.334,0.02340878,2157,0.0,
shorts,z7C1FINK1yc,37.3946,24.8777,3.577e-05,4301,56.1699,high
shorts,CnotCMXoBU4,37.39,62.3166,0.02314905,2158,0.0,
shorts,SpXHKo1vMIk,37.3795,62.2991,0.02303629,2159,0.0,
shorts,JrGlAw_Q7ow,37.369,62.2816,0.02272402,2160,0.0,
shorts,IPsAjEyF3z0,37.3585,62.2642,0.02231425,2161,0.0,
shorts,3VjzPvtakEs,37.348,62.2467,0.02213298,2162,0.0,
shorts,oKK9vexoO5g,37.327,62.2117,0.02192013,2164,0.0,
shorts,KIwgjZycAyQ,37.3166,62.1943,0.02186453,2165,0.0,
shorts,HIkCed8jL4I,37.3061,62.1768,0.02170602,2166,0.0,
shorts,xxNFnWh5HP4,37.2858,25.1572,3.782e-05,4285,55.4787,high
shorts,58CV_fm_fGY,37.2851,62.1419,0.02168624,2168,0.0,
shorts,fSO1JEGZEsY,37.2746,62.1244,0.02167982,2169,0.0,
shorts,sYyINOlvkRg,37.2641,62.1069,0.02154296,2170,0.0,
shorts,iOuKHEp7aZE,37.2609,21.8728,2.112e-05,4473,60.3431,high
shorts,TSsworwBH5g,37.2536,62.0894,0.02150552,2171,0.0,
shorts,WPOhGVSPOyM,37.2432,62.072,0.02148568,2172,0.0,
shorts,k30WHO9_ppU,37.2332,19.2523,1.25e-05,4623,64.2046,high
shorts,dkXp71dtee0,37.2327,62.0545,0.02148299,2173,0.0,
shorts,qqxitpDkrqQ,37.2222,62.037,0.02133368,2174,0.0,
shorts,9T90MfOpaZY,37.2195,21.6457,2.04e-05,4486,60.5801,high
shorts,FUzmCJRbOXI,37.2118,62.0196,0.02124761,2175,0.0,
shorts,LXLv-d2hrfc,37.202,21.6632,2.044e-05,4484,60.5102,high
shorts,tqgU0Z2-c9Q,37.2013,62.0021,0.02123503,2176,0.0,
shorts,SIaMLmEewX4,37.1908,61.9846,0.02116767,2177,0.0,
shorts,DkXuN6MqDGg,37.1698,61.9497,0.02094224,2179,0.0,
shorts,vCSV5v1gF4k,37.1488,61.9147,0.02087449,2181,0.0,
shorts,p4q0TtyO3gE,37.1384,61.8973,0.02081271,2182,0.0,
shorts,MNNGK0ie1To,37.1279,61.8798,0.02081267,2183,0.0,
shorts,NIwCLN1myUY,37.1174,61.8623,0.02066608,2184,0.0,
shorts,NC_Eo4HEpC0,37.1069,61.8449,0.02064222,2185,0.0,
shorts,c0IjyYUXNw0,37.0999,20.1433,1.492e-05,4572,62.5349,high
shorts,MBrLY99TVxg,37.0964,61.8274,0.02056422,2186,0.0,
shorts,rcYUAwmhsfI,37.0809,22.8861,2.682e-05,4415,58.3732,high
shorts,mtkyom9C-ME,37.0755,61.7925,0.02056126,2188,0.0,
shorts,-pCPxHtXHiQ,37.065,61.775,0.02046506,2189,0.0,
shorts,HPoBP5UgdR8,37.0506,23.0259,2.732e-05,4407,58.0877,high
shorts,n8cZpfGQb1k,37.0465,23.5674,2.957e-05,4376,57.2651,high
shorts,H_3eAu8F0So,37.044,61.74,0.02034652,2191,0.0,
shorts,yGuHZN8NweA,37.0336,61.7226,0.02012071,2192,0.0,
shorts,loNbI2s1IOg,37.0231,61.7051,0.02006958,2193,0.0,
shorts,6GCESjZ2jTo,37.0126,61.6876,0.020061,2194,0.0,
shorts,g4Jne1qDDhU,37.0021,61.6702,0.02003331,2195,0.0,
shorts,hT-tgG0CTY0,36.9916,61.6527,0.01996612,2196,0.0,
shorts,Gd63U2rQa9E,36.9811,61.6352,0.01982482,2197,0.0,
shorts,87xAJoZobKo,36.9602,61.6003,0.01980997,2199,0.0,
shorts,PkOuKOB_uY4,36.9497,61.5828,0.01971176,2200,0.0,
shorts,IzdD_sEw8Cs,36.9392,61.5653,0.01963418,2201,0.0,
shorts,qO-U-do7bJk,36.9182,61.5304,0.01955349,2203,0.0,
shorts,-hg67g9XwhY,36.9124,21.3662,1.919e-05,4502,60.2318,high
shorts,9qIjxf8fmf4,36.9077,61.5129,0.01952911,2204,0.0,
shorts,LQd65ctML6o,36.9031,15.8456,4.69e-06,4818,68.4893,high
shorts,BsOLrQ--SL4,36.8973,61.4955,0.01949403,2205,0.0,
shorts,8rc2eBZ0uUI,36.8868,61.478,0.0194187,2206,0.0,
shorts,u5XWNSVJajg,36.8763,61.4605,0.01931667,2207,0.0,
shorts,cITvjPyn_Go,36.8658,61.443,0.01931238,2208,0.0,
shorts,i9a5YvpbJmI,36.8554,61.4256,0.01927919,2209,0.0,
shorts,YafKRYEzdDg,36.8449,61.4081,0.01921269,2210,0.0,
shorts,EevFV2CiLQI,36.8344,61.3906,0.01912666,2211,0.0,
