generated_at,total_examples,trainable_examples,inference_examples,unique_videos,unique_channels,recommended_status,can_train_now,examples_missing_for_exploratory,examples_missing_for_baseline
2026-05-04T19:15:31+00:00,2473,2473,1087,667,105,ready_for_baseline,True,0,0
2026-05-04T21:39:32+00:00,2473,2473,1087,667,105,ready_for_baseline,True,0,0
2026-05-07T12:18:19+00:00,2856,2856,1316,842,115,ready_for_baseline,True,0,0
