execution_date,video_id,channel_id,channel_name,upload_date,video_age_days,views,views_delta,views_per_day_since_upload,lifecycle_stage
2026-05-05T22:35:51.664592+00:00,5EWqr_Y2uH0,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,2026-05-04T19:19:00+00:00,1.136709,423705,50654,372747.114697,early
2026-05-05T22:35:51.664592+00:00,PGBt4pOj4Vc,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,2026-05-04T15:57:27+00:00,1.276674,428051,49554,335286.063631,early
2026-05-05T22:35:51.664592+00:00,BAORYfrrBzc,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,2026-05-04T19:15:00+00:00,1.139487,388607,48255,341036.799893,early
2026-05-05T22:35:51.664592+00:00,vmRbevilfpU,UCOWFKaCN-rzmYk502JFWnqg,Eze Martínez,2026-04-23T17:02:28+00:00,12.231524,7454064,42967,609414.166215,active
2026-05-05T22:35:51.664592+00:00,1_H80JEZ2ko,UCyJbb85EUgWjl38GcF236Jg,Eva Maria Beristain,2026-05-04T01:15:06+00:00,1.889417,485333,41663,256869.182399,early
2026-05-05T22:35:51.664592+00:00,5LJ1cxjQhyE,UC415bOPUcGSamy543abLmRA,Cleo Abram,2026-05-02T15:42:07+00:00,3.287323,2169212,39922,659871.877512,early
2026-05-05T22:35:51.664592+00:00,fRjAMALJ0r0,UC1viRct91s1a3Z5yvk7FJXw,Diego Ruzzarin,2026-05-04T16:01:09+00:00,1.274105,345961,38701,271532.565997,early
2026-05-05T22:35:51.664592+00:00,wng1spgJCoU,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,2026-05-05T16:32:00+00:00,0.252681,37219,37219,147296.393476,first_24h
2026-05-05T22:35:51.664592+00:00,UncqiOQc4rI,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-04-24T16:01:01+00:00,11.274198,3671937,34449,325693.854232,active
2026-05-05T22:35:51.664592+00:00,6dt3fd17_d0,UCDOSaJ0pnglwzfkR6fYbisA,Luis Mi Negocios,2026-05-04T19:34:21+00:00,1.126049,200493,34277,178049.978287,early
2026-05-05T22:35:51.664592+00:00,dqazxW8R5BY,UC415bOPUcGSamy543abLmRA,Cleo Abram,2026-04-30T15:25:57+00:00,5.298549,2201921,31294,415570.564696,early
2026-05-05T22:35:51.664592+00:00,GDex3WIPF7c,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-04-30T22:00:21+00:00,5.02466,1559297,30767,310328.858072,early
2026-05-05T22:35:51.664592+00:00,OTt76d3wPiQ,UC1viRct91s1a3Z5yvk7FJXw,Diego Ruzzarin,2026-05-04T22:46:53+00:00,0.992346,161207,29691,162450.395326,first_24h
2026-05-05T22:35:51.664592+00:00,7Y7Iv5XAXwI,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-04-29T19:00:12+00:00,6.149765,1962711,29381,319152.195246,early
2026-05-05T22:35:51.664592+00:00,YUwjueXzffE,UCOHxDwCcOzBaLkeTazanwcw,Bravos Research,2026-05-01T16:30:02+00:00,4.254047,285263,25839,67056.851981,early
2026-05-05T22:35:51.664592+00:00,reCJ5EuvukI,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-05-01T22:01:05+00:00,4.024151,937666,25093,233009.64601,early
2026-05-05T22:35:51.664592+00:00,jLFG_FZKbks,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,2026-04-30T07:00:41+00:00,5.649429,1216613,24640,215351.498355,early
2026-05-05T22:35:51.664592+00:00,TmkbUF0V0hM,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-05-01T15:00:54+00:00,4.315945,735512,23937,170417.370935,early
2026-05-05T22:35:51.664592+00:00,Czf68kDF_7Y,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-04-23T16:00:20+00:00,12.274672,2400324,23276,195550.968694,active
2026-05-05T22:35:51.664592+00:00,U5l0Z8T4tCk,UCqLiW00gUvXG0J5vlZZNJ1g,FranqitoM,2026-05-04T17:25:29+00:00,1.21554,183183,23256,150700.923047,early
2026-05-05T22:35:51.664592+00:00,AtSQBfBK6HE,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,2026-05-03T19:15:00+00:00,2.139487,744939,22431,348185.803419,early
2026-05-05T22:35:51.664592+00:00,jKTNMlUEdgU,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,2026-04-29T14:40:01+00:00,6.330448,1297045,22347,204889.922483,early
