execution_date,channel_id,channel_name,videos_tracked,median_views_delta,median_engagement_rate,avg_duration_seconds,shorts_ratio,total_views_delta,new_videos,top_video_id,top_video_title,top_video_views_delta,channel_growth_percentile,channel_momentum_score
2026-05-24T10:51:56.512810+00:00,UCR9j1jqqB5Rse69wjUnbYwA,All About AI,8,164.5,0.037887,1017,0,2635,0,PA7pkV4IqAk,Why Creating a Fake SaaS Using AI Is So Profitable,1407,16.990291,16.990291
2026-05-24T10:51:56.512810+00:00,UCx2Y_55MBCq3lkc3aOtmAiw,profesor10demates,8,374.5,0.077029,521.5,0.125,3062,2,hXlbLhQ7GSo,PAU 2026 ¿ Cuál es el ejercicio de matemáticas que más veces ha caído en selectividad?,1381,17.475728,17.475728
2026-05-24T10:51:56.512810+00:00,UC3nwmvE2aDzUSJ4evQ1NhoA,IA Innova,17,19,0.050366,519.764706,0,2274,0,_yd0gruRlzs,¡El NUEVO Ordenador de IA del Tamaño de una MANO de NVIDIA es una LOCURA!,1341,16.019417,16.019417
2026-05-24T10:51:56.512810+00:00,UCzKnSeOq30zVvgosDFlne5g,Finect - Invertir mejor,27,37.5,0.024956,710.185185,0.444444,6639,1,YutSe3qj3m4,Muchos inversores creen que DIVERSIFICAN… pero lo hacen MAL ❌,1339,24.757282,24.757282
2026-05-24T10:51:56.512810+00:00,UCCKpicnIwBP3VPxBAZWDeNA,Money & Macro,1,1262,0.044989,829,0,1262,0,fWF0ZwzGoho,Iran's crumbling economy,1262,11.650485,11.650485
2026-05-24T10:51:56.512810+00:00,UCn8zNIfYAQNdrFRrr8oibKw,VICE,2,936.5,0.018295,1494,0,1873,0,r8kpOGuCXe4,Riz Ahmed takes on Iconic British Culture | VICE Culture Club Ep11,1054,13.834951,13.834951
2026-05-24T10:51:56.512810+00:00,UCsmEAwbV7WbYndpQKbY4Ntw,Juan Villalvazo,7,12,0.087203,1715.714286,0,1120,0,nRC5uYUDmFY,Te Regalo TODOS mis Cursos de Programación,1046,11.165049,11.165049
2026-05-24T10:51:56.512810+00:00,UCfLuMSIDmeWRYpuCQL0OJ6A,Kwebbelkop,1,921,0.005876,972,0,921,0,6mK7FF5vbfs,"I Bought a $10,000 Abandoned Storage Unit!",921,10.92233,10.92233
2026-05-24T10:51:56.512810+00:00,UCV5G678sZwW5IcF3pCfRbHQ,La Hiperactina,3,499,0.090224,726,0,1571,0,qmiPJlei9bk,¿Por qué el miedo puede dar placer?,915,12.378641,12.378641
2026-05-24T10:51:56.512810+00:00,UC-ktYMwvFKNmhQdps8VDrkg,Daniel Felipe Medina,3,17,0.057009,595.333333,0,917,0,TLnbp0R8k7w,"Si tienes un trabajo, NO crees un canal de YouTube",898,10.679612,10.679612
2026-05-24T10:51:56.512810+00:00,UCBxr1muciHdRtlygUhruARw,Eduardo Rosas - Finanzas Personales,3,552,0.068932,127.666667,0,1478,0,U_6iJElziCo,Cuando ya tomas malas decisiones en automático #finanzaspersonales #economia #gastos,878,12.135922,12.135922
