content_format,model_id,model_family,task_type,target,horizon,train_examples,validation_examples,precision_at_10,recall_at_10,roc_auc,pr_auc,brier_score,mae_log,rmse_log,spearman_corr,champion_metric,champion_metric_value,baseline_metric_value,lift_vs_best_baseline,selected_as_champion,interpretability_level,artifact_name,workflow_run_id,created_at
videos,videos-linear_regularized-is_top_growth_7d-20260625T124418Z,linear_regularized,classification,is_top_growth_7d,7d,30846,10282,1.0,0.006532,0.995863,0.977401,0.022501,,,,precision_at_10,1.0,-999.0,-999.0,True,high,,,2026-06-25T12:44:18.685657+00:00
videos,videos-random_forest-is_top_growth_7d-20260625T124418Z,random_forest,classification,is_top_growth_7d,7d,30846,10282,1.0,0.006532,0.990252,0.949184,0.037606,,,,precision_at_10,1.0,-999.0,-999.0,False,medium,,,2026-06-25T12:44:18.685657+00:00
videos,videos-shallow_tree-is_top_growth_7d-20260625T124418Z,shallow_tree,classification,is_top_growth_7d,7d,30846,10282,1.0,0.006532,0.97441,0.812039,0.047802,,,,precision_at_10,1.0,-999.0,-999.0,False,high,,,2026-06-25T12:44:18.685657+00:00
videos,videos-linear_regularized-future_log_views_delta_7d-20260625T124418Z,linear_regularized,regression,future_log_views_delta_7d,7d,30846,10282,,,,,,0.386834,0.525842,0.989779,spearman_corr,0.989779,0.378516,0.378516,True,high,,,2026-06-25T12:44:18.685657+00:00
videos,videos-random_forest-future_log_views_delta_7d-20260625T124418Z,random_forest,regression,future_log_views_delta_7d,7d,30846,10282,,,,,,0.558295,0.732644,0.972465,spearman_corr,0.972465,0.361202,0.361202,False,medium,,,2026-06-25T12:44:18.685657+00:00
videos,videos-shallow_tree-future_log_views_delta_7d-20260625T124418Z,shallow_tree,regression,future_log_views_delta_7d,7d,30846,10282,,,,,,0.834135,1.067029,0.928976,spearman_corr,0.928976,0.317713,0.317713,False,high,,,2026-06-25T12:44:18.685657+00:00
