content_format,target,model_family,mae_log,rmse_log,spearman_corr,top_10_overlap_with_actual,precision_at_top_decile_regression,lift_vs_baseline_alpha,lift_vs_baseline_decision,lift_vs_baseline_views_delta,train_rows,valid_rows
videos,future_log_views_delta_7d,random_forest_regressor,0.297183,0.595036,0.973116,0.8,0.862697,0.607813,6.080297,-0.001421,32902,8226
videos,future_log_views_delta_7d,linear_regularized_regressor,0.588076,0.904255,0.956403,0.8,0.749696,0.428659,5.901143,-0.180575,32902,8226
videos,future_log_views_delta_7d,shallow_tree_regressor,0.501982,0.718696,0.959682,0.2,0.777643,0.495459,5.967943,-0.113776,32902,8226
videos,future_relative_views_delta_7d,random_forest_regressor,15.574751,171.377727,0.798421,0.8,0.72175,30.410841,226.529908,101.79942,32902,8226
videos,future_relative_views_delta_7d,linear_regularized_regressor,79.113458,299.49157,0.664784,0.1,0.526124,11.925751,208.044819,83.314331,32902,8226
videos,future_relative_views_delta_7d,shallow_tree_regressor,22.92681,251.029249,0.407173,0.5,0.619684,23.385598,219.504665,94.774177,32902,8226
videos,future_engagement_delta_7d,random_forest_regressor,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,32902,8226
videos,future_engagement_delta_7d,linear_regularized_regressor,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,32902,8226
videos,future_engagement_delta_7d,shallow_tree_regressor,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,32902,8226
videos,content_value_score_7d,random_forest_regressor,15.573046,17.299846,0.876852,0.0,0.772783,8.838997,25.589216,14.536578,32902,8226
videos,content_value_score_7d,linear_regularized_regressor,15.820898,18.17431,0.851689,0.0,0.695018,7.633694,24.383914,13.331276,32902,8226
videos,content_value_score_7d,shallow_tree_regressor,15.587123,17.498002,0.864853,0.0,0.742406,8.312035,25.062254,14.009616,32902,8226
