grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
weekly,2026-05-18,2026-05-24,UC8rNKrqBxJqL9izOOMxBJtw,Willyrex,8,8,200752,9095,116,0.064882,3v3DaWeueyg,Hoy se acaba la Suerte de Fargan ,55233
weekly,2026-05-18,2026-05-24,UCR1IuLEqb6UEA_zQ81kwXfg,Real Engineering,3,0,196440,10744,82,0.065088,9IYRd5TnC5M,The V-22’s prototype was even more dangerous,164436
weekly,2026-05-18,2026-05-24,UCTfQ65AxquXmih3r6rZmK-Q,jefillysh,8,2,192370,11203,679,0.078337,cycDCq-vQFA,Tu MAMÁ necesita hacer esto - CIENCIA SIMPLIFICADA EP76 ,81972
weekly,2026-05-18,2026-05-24,UCP5tjEmvPItGyLhmjdwP7Ww,RealLifeLore,2,2,191909,5160,1650,0.043503,Km2A-9DwzeM,The World's Dumbest Geopolitical Conflict: The Falklands,115033
weekly,2026-05-18,2026-05-24,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,1,1,191214,6234,313,0.041907,ZHXt0-_gSj4,Tie random ends: How many loops?,191214
weekly,2026-05-18,2026-05-24,UC-UcKEWOSpz0AfY33TrYw3g,Nekojitablog,2,2,189869,11892,800,0.087119,YLZwT_LIXVU,LA ESCASEZ DE PETRÓLEO AFECTA A JAPÓN,178815
weekly,2026-05-18,2026-05-24,UCey-eDTR5J6xU6pZ2f4guoA,Adin Live,18,17,184517,2509,511,0.025656,j1ARLIpKUSo,Johnny Manziel Crashed Out at Brand Risk Press Conference! ,93375
weekly,2026-05-18,2026-05-24,UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,5,1,175916,7317,188,0.050648,OyuQDMau9K4,Have you HEARD this??,88765
weekly,2026-05-18,2026-05-24,UC0N6ZYT8Q9bdQkGrgl9g9Ug,Pinwin,5,1,173025,13265,688,0.113174,1mHrzCe7Gkc,Hablemos de Adicciones...,106856
weekly,2026-05-18,2026-05-24,UCEAZeUIeJs0IjQiqTCdVSIg,Yahoo Finance,69,54,171994,4230,896,0.027247,gSCo1cy3FCc,Why Wall Street is panicking about tokenized stocks,35087
weekly,2026-05-18,2026-05-24,UCMsgXPD3wzzt8RxHJmXH7hQ,Cartoon Network,8,8,165529,4174,0,0.033066,uCI13vEkn24,FULL EPISODE | Regular Show: The Lost Tapes 🐦🦝📼 | Fix That Tape/Skips' Luau | Cartoon Network,113210
weekly,2026-05-18,2026-05-24,UCTl3QQTvqHFjurroKxexy2Q,Olympics,27,26,164809,2069,85,0.027308,1-qftFmbIMA,Full Final! | Spain 🇪🇸 vs 🇫🇷 France | Football at Paris 2024,86707
weekly,2026-05-18,2026-05-24,UCSMqateX8OA2s1wsOR2EgJA,TLDR News,5,5,164596,3444,863,0.042264,g37tpH_i3DA,Why Burnham Becoming Prime Minister Looks Increasingly Likely,117821
weekly,2026-05-18,2026-05-24,UCRDQzsHtx2cXvzEXnEhbxBg,Mister Krax,59,11,162243,10000,968,0.079062,f74EJAib6TU,Así México enamora a BTS y estrellas de talla Mundial,41485
weekly,2026-05-18,2026-05-24,UCEK0oX3X2yK9y27khCsrNKg,Mis Propias Finanzas,84,24,161248,6698,592,0.057354,mN3Gt29ygtY,La Verdad que Nadie te Dice sobre el Precio del Dólar en Colombia,24323
weekly,2026-05-18,2026-05-24,UCbfYPyITQ-7l4upoX8nvctg,Two Minute Papers,8,1,160615,4857,245,0.047972,LpXhy2iiaQE,DeepSeek’s New AI Is A Game Changer,143429
weekly,2026-05-18,2026-05-24,UCDV1MWcRLthxSrmb2Zv-jeg,Ricardo Alca2,6,2,152758,8966,185,0.075973,Gmv-x9FyRHs,Caí en el bait (de nuevo),64694
weekly,2026-05-18,2026-05-24,UCbUYAYd1WUznxEEl498z7vA,Woshingo Streams,28,3,149988,4769,368,0.050034,p-C13Dm51mc,ESTE PODCAST ES TERRIBLE,45388
weekly,2026-05-18,2026-05-24,UCV5cU7ORoUCCAT79kSrOJmg,Ricardo Alcaraz,4,1,149403,10565,242,0.089396,deCW40EK2vs,"""Tu Influencer favorito no está hablando de esto""",90148
weekly,2026-05-18,2026-05-24,UCftwRNsjfRo08xYE31tkiyw,WIRED,7,7,148802,4420,173,0.024995,yAkdi07egzc,Cybersecurity Expert Answers Hacking Questions | Tech Support | WIRED,89927
weekly,2026-05-18,2026-05-24,UCZ4AMrDcNrfy3X6nsU8-rPg,Economics Explained,4,4,148330,3826,236,0.034843,OkiZE8n5Jdo,"Dubai Was An Economic Miracle, Then They Got Bombed",78393
weekly,2026-05-18,2026-05-24,UCoXtmmnLCbXDiSo8GxsmOzA,La gata de Schrödinger,5,2,146751,9024,1877,0.074641,y09xbZfsdQU,"""Mi novia tiene 16 años menos"": los HOMBRES que odiaban a las mujeres",78955
weekly,2026-05-18,2026-05-24,UCLXo7UDZvByw2ixzpQCufnA,Vox,17,16,142376,2938,288,0.033586,WxXsDw7cdwk,The college dream is falling apart | The Gray Area,16342
weekly,2026-05-18,2026-05-24,UCl5-lvQyfILb-l2abPk4Ntg,Inteligencia Artificial,22,6,141974,3623,232,0.042795,PeLru2q5Z0E,Google ha vuelto con todo,33360
weekly,2026-05-18,2026-05-24,UCvnNkJsbONVhdXuHY_LpsdA,ElRichMC - Minecraft & Gaming a otro nivel,10,10,140515,6368,559,0.088297,s0cwLxJeA_M,¿Cuánto sabes de Minecraft? Sarinha y ElRichMC,38471
weekly,2026-05-18,2026-05-24,UCaRLjOy-9m_eJ9REVqc0YoQ,Gustavo Entrala,2,0,139537,4913,518,0.049841,ZsKszAkq0jI,La IA se queda SIN GASOLINA y lo vamos a pagar MUY CARO,92440
weekly,2026-05-18,2026-05-24,UCTJTpwrK4a-ajXs4-Wry09A,alanxelmundo,1,1,138434,3870,79,0.048283,QPjskMnFluQ,Cocodrilos momificados!!! EdfU y Kom Ombo | Alan por el mundo #Egipto #3 4K,138434
weekly,2026-05-18,2026-05-24,UCv05qOuJ6Igbe-EyQibJgwQ,Academia Play,3,3,137811,5828,191,0.051189,yH_UuZdEjh4,La Odisea: la historia de Ulises y el regreso a Ítaca,56431
weekly,2026-05-18,2026-05-24,UC2D2CMWXMOVWx7giW1n3LIg,Andrew Huberman,4,3,136090,3101,285,0.035061,Q2hOryHdgAk,How to Overcome Social Anxiety | Dr. Nick Epley,75113
weekly,2026-05-18,2026-05-24,UCwGX2cE21VPBEJ49hcprP9w,SupraPixel,5,5,133178,3408,192,0.035406,ta20ogNMEkE,7 años y sigue siendo EL REY,40135
weekly,2026-05-18,2026-05-24,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,4,1,131894,3901,110,0.037795,gdrPkpXuNks,My Full Claude Cowork Setup (steal my workflows!),65919
weekly,2026-05-18,2026-05-24,UCFJJziTVsiIVSyRKvXHX37g,Canticos - Bilingual Nursery Rhymes & Kids Songs,12,11,129882,138,0,0.002316,P-vJ3Qwbs64,¡Feliz Día del Maestro! Aprende El abecedario y las vocales | Preschool Learning @canticosworld,64177
weekly,2026-05-18,2026-05-24,UCUXLlsi8mQeP0TvGbmSn8iw,Sopitas,27,22,128260,655,26,0.034493,dEB55I-IuYc,SOFÍA CORTINA: me desmayé cuando grité un gol de Messi | Sopitas FC,64784
weekly,2026-05-18,2026-05-24,UCX9NJ471o7Wie1DQe94RVIg,Fazt,25,4,126794,4170,254,0.053059,xXOPsSOcyAw,Google Rompió Todo: Ahora Todo es Antigravity + Gemini 3.5 Flash (Resumen Completo),83172
weekly,2026-05-18,2026-05-24,UCShHFwKyhcDo3g7hr4f1R8A,World Science Festival,4,4,126166,2378,543,0.026691,iFYF_e1GSGI,The Uncomfortable Truth About AI “Reasoning” | World Science Festival,110404
weekly,2026-05-18,2026-05-24,UCtIdb7KRqOTcOogKsos_QRw,Lord Draugr,2,0,123777,2860,50,0.042315,0X0pDsglgno,Ascenso y caída de Kevin Mitnick: el hacker más famoso de la historia,90604
weekly,2026-05-18,2026-05-24,UCb8GKeOvI7WsFUkB4UVAeXA,Cordura Artificial,5,1,122986,7758,361,0.079555,Xknz4LiogTQ,"""NO es INFELICIDAD, es POBREZA""",45369
weekly,2026-05-18,2026-05-24,UCucNB6GOncGkTMB55ZrjYvg,Recetas de Esbieta,3,3,122814,1609,78,0.086699,bh1uZxNZr7Y,Tortilla de Calabacín: La técnica definitiva para una cremosidad real,108342
weekly,2026-05-18,2026-05-24,UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,7,7,121166,3104,178,0.037514,gh2_PhgZGsM,Claude Code for Beginners Tutorial [Full Course],27294
weekly,2026-05-18,2026-05-24,UCkJEpR7JmS36tajD34Gp4VA,Psych2Go,8,6,121065,8974,1347,0.112655,1nvx-aMYTsI,Why You Feel Detached From Everyone (Schizoid Personality Disorder),44289
weekly,2026-05-18,2026-05-24,UCq2otJm7A6jGGcGFEks0HVw,Se Regalan Dudas Podcast,8,7,118604,3017,237,0.034009,wPMtgKSyp58,Reinventarte en una nueva etapa de tu vida | Jueves de Lety & Ash | Episodio 661,44418
weekly,2026-05-18,2026-05-24,UCBBWpss2iXVXtTzl7-4eWbg,Jessica Fernández García,27,5,117112,2156,159,0.032046,XCs9UO44RmA,Escúchalo completo en Más Allá del Rosa en YouTube,30823
weekly,2026-05-18,2026-05-24,UCtwslQPB_xJfaFuZv0OETNw,Kings League Spain,25,22,114449,2102,29,0.027119,e23-s9jMw74,👑Queens League Spain ⚽KICKOFF NIGHT,47404
weekly,2026-05-18,2026-05-24,UCOvzFyIAr32yspwxx77BHcQ,Rob Paper Clips,14,3,112606,4263,312,0.054867,0aYjMEA0E8M,"El Más TURBIO Youtuber para ""Niños""...",41593
weekly,2026-05-18,2026-05-24,UCClNRixXlagwAd--5MwJKCw,H2ODelirious,7,7,112420,2938,137,0.04681,yWWA5H4I4Xs,I Tried SUBNAUTICA 2 with My Friends!,54065
weekly,2026-05-18,2026-05-24,UC2xjgvWb9cx5F637XjsUNxw,toycantando,3,3,111774,187,0,0.002356,W5BVnWwTvSE,Estrellita Dónde Estás 🌟🌙 La Lechuza | Canciones Infantiles Para Dormir | Toy Cantando,69823
weekly,2026-05-18,2026-05-24,UCOWFKaCN-rzmYk502JFWnqg,Eze Martínez,2,0,110881,4082,130,0.060352,ktkpd9A8MD8,El Objeto Que Costó Una Guerra,62872
weekly,2026-05-18,2026-05-24,UCOHxDwCcOzBaLkeTazanwcw,Bravos Research,9,2,110683,2238,1,0.027321,YNTWm9IZf1U,The Entire Financial System Just Changed Forever…,32359
weekly,2026-05-18,2026-05-24,UC2iUwfYi_1FCGGqhOUNx-iA,ScreenRant,20,20,110096,2288,303,0.032378,4qE8og6P9u8,The Mummy 4 Is The Apology Brendan Fraser Fans Deserved,66018
weekly,2026-05-18,2026-05-24,UCxcDzs-4quJV4QsairlFYNg,Alejavi Rivera,9,2,108598,3222,126,0.042554,J_cMk5zEThI,¡Obsidian reventó la IA con MEMORIA GRATIS e ILIMITADA! Esto puedes hacer 🚀,24565
weekly,2026-05-18,2026-05-24,UCXZCJLdBC09xxGZ6gcdrc6A,OpenAI,14,14,107006,2617,184,0.034853,Br4l9YjCyRU,The Erdős Breakthrough,41341
weekly,2026-05-18,2026-05-24,UCzR-rom72PHN9Zg7RML9EbA,PBS Eons,3,1,106892,4092,153,0.054047,-ellvM_GPWI,The Mystery of the Missing Deep-Sea Fish,47590
weekly,2026-05-18,2026-05-24,UChhw6DlKKTQ9mYSpTfXUYqA,Starter Story,4,2,106094,2918,120,0.037205,32vqaJa90kw,My Two Apps Make $150K/Month Each,46145
weekly,2026-05-18,2026-05-24,UCFbNIlppjAuEX4znoulh0Cw,Web Dev Simplified,3,3,104622,3250,154,0.040558,UngVdAsQEiU,The Best Local Agentic Coding Workflow (Complete Guide),83737
weekly,2026-05-18,2026-05-24,UCqcbQf6yw5KzRoDDcZ_wBSw,Wes Roth,23,7,103984,2406,495,0.032441,gCHEFZDPVYs,OpenAI just SOLVED MATH....,30247
weekly,2026-05-18,2026-05-24,UCRHZrsFKNop3EHMoWkgdccg,FeidVEVO,1,1,103977,3269,86,0.06738,rH1a9liVb0w,"Feid, Yuki Chiba - Medellín Takai",103977
