execution_date,channel_id,channel_name,videos_tracked,new_videos,total_views_delta,median_views_delta,avg_engagement_rate,channel_growth_7d,channel_growth_30d,channel_momentum_7d_vs_30d,channel_momentum_score,publish_frequency_7d,publish_frequency_30d,channel_consistency_score,channel_volatility_robust,top_video_id,top_video_title,top_video_views_delta,shorts_ratio,mid_ratio,long_ratio,metric_confidence_score
2026-05-21T12:28:40.492262+00:00,UCeUJFQ0D9qs6aVNyUt9fkeQ,The Armchair Historian,1,0,10048,10048,0.06327,62074,62074,4.285714,60.438144,1,1,87.012987,0.417169,vcg1WMzr9xw,U.S. Island Hopping Strategy,10048,0,0,1,46.75
2026-05-21T12:28:40.492262+00:00,UCFBpVaKCC0ajGps1vf0AgBg,Humphrey Yang,18,1,35470,1274,0.022015,298973,1064133,1.204091,12.886598,5,18,32.987013,2.632336,Y1Q2le4JrAI,I'm giving away $15k+ worth of Morgan Silver Dollars and a $3k+ Gold Coin this Saturday May 16th ⬇️,9956,0,0.777778,0.222222,96.5
2026-05-21T12:28:40.492262+00:00,UCSju5G2aFaWMqn-_0YBtq5A,Stand-up Maths,2,0,12887,6443.5,0.050271,212916,473672,1.926433,24.742268,1,2,40.25974,2.192102,XllQPr8FtPE,The paper scale system is broken.,9932,0,0,1,68.5
2026-05-21T12:28:40.492262+00:00,UC9RM-iSvTu1uPJb8X5yp3EQ,Wendover Productions,2,1,9915,9915,0.037955,85056,560146,0.650769,5.927835,1,1,70.909091,1.021695,GREaEG_0Xcw,How Car Dealerships Scam America,9915,0,0,1,63.5
2026-05-21T12:28:40.492262+00:00,UCqynl7rdtktKMQESdSBmE-g,Sapnap,1,0,9630,9630,0.046391,34333,34333,4.285714,60.438144,1,1,93.766234,0.197834,VLW8Cum-cAk,Minecraft Arrow Toss...,9630,0,1,0,46.75
2026-05-21T12:28:40.492262+00:00,UCnB5W_ZJgiDFnklejRGADxw,Pocoyó 🇪🇸 Español - Canal Oficial,3,0,23117,7785,0.002758,98972,98972,4.285714,60.438144,2,2,81.298701,0.660435,tse51CSdjvo,¡Pato ATRAPADO en otra dimensión! 😱 ¿Qué hay detrás de la puerta misteriosa? | Pocoyo 🇪🇸 Español,9521,0,0.333333,0.666667,59
2026-05-21T12:28:40.492262+00:00,UC9WGON3pXofvE958Uq3Lw3Q,Éxito Financiero — Finanzas Personales Y Educación,12,0,12062,92,0.055382,23975,71231,1.44249,17.010309,2,10,41.818182,2.111842,_IGkTN4JrkM,Por Qué NO Uso Tarjeta Débito (Millones Ahorrados En 15 AÑOS Por NO Usarla),9520,0,0,1,86
2026-05-21T12:28:40.492262+00:00,UCJHA_jMfCvEnv-3kRjTCQXw,Binging with Babish,1,0,9426,9426,0.032667,31809,31809,4.285714,60.438144,1,1,95.844156,0.085565,_vzBiTAiBAk,I Made Every Star Wars Food,9426,0,0,1,46.75
2026-05-21T12:28:40.492262+00:00,UCK7tptUDHh-RYDsdxO1-5QQ,The Wall Street Journal,22,3,27781,560,0.022938,101249,101249,4.285714,60.438144,22,22,29.87013,2.840822,JetP-W5azNA,The Big Business Buying Up America’s Hockey Rinks | WSJ,9341,0,0.909091,0.090909,100
2026-05-21T12:28:40.492262+00:00,UCmE44gpkHmf5bKIVTPSwxnQ,Judith Tiral,4,0,13274,1836.5,0.061575,79262,234431,1.449016,17.783505,1,4,44.935065,2.01435,eMK36QZCpLY,Así es ESTAR EMBARAZADO siendo un CHICO TRANS,9152,0,0,1,72
2026-05-21T12:28:40.492262+00:00,UCv05qOuJ6Igbe-EyQibJgwQ,Academia Play,2,0,17059,8529.5,0.045722,73534,73534,4.285714,60.438144,2,2,93.506494,0.198529,5FlrieGvoAk,No. Las calzadas romanas no estaban enlosadas,9092,0,0.5,0.5,53.5
2026-05-21T12:28:40.492262+00:00,UCM55RjebjSevVWPnj2LEymw,viyaura,9,1,32000,3885,0.064228,308744,1503178,0.880261,8.247423,3,9,39.74026,2.224719,vKG-QwpcF3k,The 24 Hour Art Swap Challenge (ft. Shrimpy),8893,0,0.555556,0.444444,80.75
2026-05-21T12:28:40.492262+00:00,UCvzk_MwdXD6jQa4Se-6B9ZQ,Adrià Solà Pastor,8,0,24946,2973,0.059722,219985,493878,1.908959,24.226804,1,8,59.480519,1.412143,DqU3d7vvfjU,Negociador Del FBI: Cómo Leer La Mente De Cualquiera Y Detectar Mentiras En Segundos,8719,0,0,1,79
2026-05-21T12:28:40.492262+00:00,UCOWFKaCN-rzmYk502JFWnqg,Eze Martínez,2,0,13397,6698.5,0.060327,130750,721800,0.776333,6.958763,0,2,81.038961,0.671549,ktkpd9A8MD8,El Objeto Que Costó Una Guerra,8699,0,0.5,0.5,68.5
2026-05-21T12:28:40.492262+00:00,UCeiYXex_fwgYDonaTcSIk6w,MinuteEarth,1,0,8652,8652,0.073507,25445,25445,4.285714,93.427835,1,1,96.883117,0.044142,4NtYJNO8Qes,The Weird Reason Rabies Is So Deadly,8652,0,1,0,46.75
2026-05-21T12:28:40.492262+00:00,UCZ4AMrDcNrfy3X6nsU8-rPg,Economics Explained,3,0,15808,5150,0.034499,44028,44028,4.285714,93.427835,3,3,66.493506,1.145049,rId69udDbwM,"No One Is Talking About the ""Winners"" of the Iran War",8587,0,0.333333,0.666667,57.75
2026-05-21T12:28:40.492262+00:00,UC55-mxUj5Nj3niXFReG44OQ,Platzi,25,2,25787,385,0.044863,232433,552420,1.803232,22.938144,10,24,20.519481,4.326241,m2K-5U1BRbs,El fin de los managers,8531,0,0.72,0.28,100
2026-05-21T12:28:40.492262+00:00,UCzR-rom72PHN9Zg7RML9EbA,PBS Eons,2,0,15991,7995.5,0.050564,137291,641380,0.917381,8.762887,0,1,50.649351,1.79482,-ellvM_GPWI,The Mystery of the Missing Deep-Sea Fish,8417,0,0.5,0.5,68.5
2026-05-21T12:28:40.492262+00:00,UCTl3QQTvqHFjurroKxexy2Q,Olympics,24,2,25572,416,0.02963,48958,48958,4.285714,60.438144,23,23,53.246753,1.693767,1-qftFmbIMA,Full Final! | Spain 🇪🇸 vs 🇫🇷 France | Football at Paris 2024,8021,0,0.916667,0.083333,100
2026-05-21T12:28:40.492262+00:00,UC2wKfjlioOCLP4xQMOWNcgg,Typical Gamer,17,2,14607,184,0.027261,47567,47567,4.285714,60.438144,17,17,28.311688,3.049002,HslSAmmm-20,🔴 LIVE! - FNCS DUO TOURNAMENT in FORTNITE!,7790,0,0,1,94.75
2026-05-21T12:28:40.492262+00:00,UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse,6,1,13330,780,0.057923,27621,46046,2.570814,30.154639,4,6,66.753247,1.143847,26MtyE-PH9o,The Algorithm Game (And Why We’re Not Really Playing),7619,0,0.833333,0.166667,75.5
2026-05-21T12:28:40.492262+00:00,UCkJEpR7JmS36tajD34Gp4VA,Psych2Go,6,1,14381,1655,0.126919,61312,61312,4.285714,60.438144,5,5,45.454545,1.980439,1nvx-aMYTsI,Why You Feel Detached From Everyone (Schizoid Personality Disorder),7580,0,1,0,74.25
2026-05-21T12:28:40.492262+00:00,UCodbH5mUeF-m_BsNueRDjcw,Overly Sarcastic Productions,4,1,10821,2939,0.062588,42942,42942,4.285714,60.438144,4,4,36.883117,2.428377,snfflY-ztHk,Trope Talk: Dream Apocalypses,7573,0,0.25,0.75,60.75
2026-05-21T12:28:40.492262+00:00,UCSPLhwvj0gBufjDRzSQb3GQ,BobbyBroccoli,1,0,7360,7360,0.044866,78991,279317,1.212002,13.402062,0,1,73.766234,0.919318,ZVzRMrLmQCc,The year Toronto went insane,7360,0,0,1,54.25
2026-05-21T12:28:40.492262+00:00,UCJQQVLyM6wtPleV4wFBK06g,VisualPolitik,14,1,22684,536,0.042844,382623,1172315,1.398782,16.237113,2,13,17.142857,4.964718,pm5T5nKfZQM,PÁNICO en el KREMLIN: La economía de GUERRA de PUTIN empieza a COLAPSAR @VisualPolitik,7177,0,0.071429,0.928571,89.5
2026-05-21T12:28:40.492262+00:00,UCOvzFyIAr32yspwxx77BHcQ,Rob Paper Clips,13,0,15276,192,0.054079,111268,221742,2.15053,27.835052,3,9,36.103896,2.463804,V87-ltSEW10,Investigando a este DELEZNABLE...,7135,0,0,1,87.75
2026-05-21T12:28:40.492262+00:00,UC3gWLlG7mTnOS5KW9aM9fZQ,Roier,2,0,8251,4125.5,0.064576,13581,13581,4.285714,60.438144,2,2,80.25974,0.702814,pz3av2ZsatA,"EL REGRESO DE ABOGADOIER !! (QSMP2, Episodio 9)",6937,0,0,1,51
2026-05-21T12:28:40.492262+00:00,UCH4BNI0-FOK2dMXoFtViWHw,Be Smart,1,0,6919,6919,0.066706,23549,23549,4.285714,60.438144,1,1,96.103896,0.07252,IqU9onfl5eA,Infinity isn’t a number. It's something much weirder.,6919,0,0,1,46.75
2026-05-21T12:28:40.492262+00:00,UCuCkxoKLYO_EQ2GeFtbM_bw,Half as Interesting,1,0,6909,6909,0.034605,21068,21068,4.285714,60.438144,1,1,98.701299,0.001157,WufGmAWN-7o,The Seven Landlocked Countries That Have Navies,6909,0,1,0,46.75
2026-05-21T12:28:40.492262+00:00,UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,4,0,9329,1189.5,0.049906,186816,1595102,0.501937,3.865979,0,3,21.558442,3.957593,FCaTFLdtsco,The call is coming from inside the house,6865,0,1,0,72
2026-05-21T12:28:40.492262+00:00,UCP15FVAA2UL-QOcGhy7-ezA,EDteam,71,3,23955,48,0.050367,352651,1045297,1.445868,17.525773,13,64,11.948052,6.042553,wIfSyH9wFjs,Elon Musk fabricará sus propios chips de IA,6792,0,0.704225,0.295775,100
2026-05-21T12:28:40.492262+00:00,UCRDQzsHtx2cXvzEXnEhbxBg,Mister Krax,54,3,24636,11,0.078744,251501,761931,1.414644,16.752577,9,48,4.415584,8.868421,Rdwsx31082s,CDMX: la ciudad morada #mexico #cdmx,6792,0,0.851852,0.148148,100
2026-05-21T12:28:40.492262+00:00,UChhw6DlKKTQ9mYSpTfXUYqA,Starter Story,3,0,12697,3773,0.036548,119438,258337,1.981432,25,1,4,64.415584,1.231429,32vqaJa90kw,My Two Apps Make $150K/Month Each,6357,0,0,1,70.25
