execution_date,channel_id,channel_name,videos_tracked,new_videos,total_views,total_views_delta,total_likes_delta,total_comments_delta,avg_engagement_rate,median_views_delta,top_video_id,top_video_title,top_video_views_delta,shorts_count,mid_count,long_count
2026-05-18T02:10:49.522964+00:00,UCEQXxiYxNZbym9Fad7-n2Lg,Doctor Fisión,4,0,174138,2712,97,6,0.064713,410.5,jFZPpkVszCg,ESTE ES EL MAPA 3D MÁS GRANDE DEL UNIVERSO 🌌,1859,4,0,0
2026-05-18T02:10:49.522964+00:00,UCP15FVAA2UL-QOcGhy7-ezA,EDteam,5,0,54202,1478,105,5,0.053768,5,cM9zl9_dG94,La IA está trayendo una epidemia de soledad,1422,4,1,0
2026-05-18T02:10:49.522964+00:00,UCtT7zEoC9-HNyLYb8cYWoww,Ale Marin,27,9,85856,4821,282,0,0.035804,68,j1KoQc0Y-14,Duki es el mejor artista.,1012,27,0,0
2026-05-18T02:10:49.522964+00:00,UCWn_0MmgojB711LFX-jaCDQ,El Rincón Del Dev,8,0,41002,2147,100,1,0.045727,25.5,JXbzY02jMZQ,Ejecuta cualquier modelo de IA en local ✌🏻 #desarrolloweb #programacion,970,8,0,0
2026-05-18T02:10:49.522964+00:00,UCzR-rom72PHN9Zg7RML9EbA,PBS Eons,2,0,151002,1071,28,1,0.038074,535.5,Re9uBHP_Aqo,Did this ancient mole go on an adventure?,947,2,0,0
2026-05-18T02:10:49.522964+00:00,UC5mQQ4Ur6oA8lsGFkvH2lyg,Noche De Chicxs,9,0,145025,891,17,0,0.029241,3,iY0N2tAyDGU,Te mereces un martillazo #chisme #comedia #podcast,840,9,0,0
2026-05-18T02:10:49.522964+00:00,UC52kszkc08-acFOuogFl5jw,Tibees,2,0,90635,1217,42,1,0.048749,608.5,dGjYPrNNjyM,ℵ₀ explained David Attenborough style,782,2,0,0
2026-05-18T02:10:49.522964+00:00,UCxFACDJ98idvo9Gq9M9AQgg,Moris Dieck | Finanzas e Inversiones ,4,0,26209,717,42,0,0.039131,6,MyIJYM4kByU,¿Cómo la IA multiplica tu capacidad?,702,4,0,0
2026-05-18T02:10:49.522964+00:00,UCEK0oX3X2yK9y27khCsrNKg,Mis Propias Finanzas,16,1,44970,1157,41,0,0.041697,9,38xA_7ePYr8,5 empresas que te pagan por tener sus acciones,660,16,0,0
2026-05-18T02:10:49.522964+00:00,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,6,1,119099,765,18,1,0.031265,154,0dlCWrqFoeM,Prompting Framework For Top 10% AI Users,332,6,0,0
2026-05-18T02:10:49.522964+00:00,UCvPGx8qh8AkrFZW06tESvaA,Dot Dager,5,0,48536,471,17,1,0.052542,34,vtjFXdFGkBc,DE CHULO AL PROGRAMADOR #dev #programacion,332,5,0,0
2026-05-18T02:10:49.522964+00:00,UCjSVqRtdOsxQDss_pJpp_Yg,COMPUESTOS Podcast,19,1,97026,455,36,0,0.042201,0,ImmxcdpyBUE,Checklist Para Invertir En 2026 📊 #Compuestos #AndresGarza #Cometa #Invertir,324,19,0,0
2026-05-18T02:10:49.522964+00:00,UCoXtmmnLCbXDiSo8GxsmOzA,La gata de Schrödinger,1,0,82095,308,12,1,0.04021,308,EJBfmLrc-iw,¿Esto es lo que ven los niños ahora?,308,1,0,0
2026-05-18T02:10:49.522964+00:00,UCl5-lvQyfILb-l2abPk4Ntg,Inteligencia Artificial,67,0,838502,2779,67,2,0.027523,6,uHxqeL7QELA,👉🏻 Te dejo el PROMPT para mejorar tus fotos borrosas fijado en los comentarios de este vídeo.,279,67,0,0
2026-05-18T02:10:49.522964+00:00,UC9mrBfjgyOsqJ0J-zw7kZLQ,Atherion,10,0,51131,468,28,0,0.088231,19,vdVZamczBJ0,¿qué abre la llave?,248,10,0,0
2026-05-18T02:10:49.522964+00:00,UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,1,0,55611,188,6,0,0.03404,188,MKL0tk-3UM8,Send this to a dad you know,188,1,0,0
2026-05-18T02:10:49.522964+00:00,UCYZLVhSSwdBllvn4tw5a4uQ,Rob Paper Sheet,2,0,90710,167,8,0,0.051513,83.5,-6t20SnbOyc,"Un buen clasista no es aquel que juzga, es que el describe la realidad.",148,2,0,0
2026-05-18T02:10:49.522964+00:00,UCDOSaJ0pnglwzfkR6fYbisA,Luis Mi Negocios,1,0,75873,130,3,0,0.070513,130,6CyjL4X8e7g,Estas PALABRAS destruyen la MENTALIDAD FINANCIERA de tus HIJOS,130,1,0,0
2026-05-18T02:10:49.522964+00:00,UCBBWpss2iXVXtTzl7-4eWbg,Jessica Fernández García,1,0,5552,120,6,0,0.03134,120,sHXJob_Yxmw,Escúchalo completo en Más Allá del Rosa en YouTube,120,1,0,0
2026-05-18T02:10:49.522964+00:00,UC4FHiPgS1KXkUMx3dxBUtPg,HolaMundo,7,0,81606,156,5,0,0.040886,10,Ocx5uE7vjIw,¿se puede programar con agentes con 32GB de RAM?,98,7,0,0
2026-05-18T02:10:49.522964+00:00,UCmE44gpkHmf5bKIVTPSwxnQ,Judith Tiral,3,0,44068,190,5,0,0.027182,65,r9R3Z05qJyY,ASÍ es UNA GUERRA por DENTRO,86,3,0,0
2026-05-18T02:10:49.522964+00:00,UCb8GKeOvI7WsFUkB4UVAeXA,Cordura Artificial,1,0,25018,31,3,0,0.078224,31,0SSctcuOy0o,Mi nuevo lector de E-books #productividad #libros #lectura #tecnologia,31,1,0,0
2026-05-18T02:10:49.522964+00:00,UCm5iBOcQ0GET_2FqFI61QDA,Cara Nicole,3,0,26595,58,4,0,0.052091,21,2MInIAO3bFA,Little changes can turn into big savings 💸,29,3,0,0
2026-05-18T02:10:49.522964+00:00,UC30ajuhy8cViP2DiM1QLjmg,98grados,5,0,99271,49,2,0,0.076064,7,Lc4kaEMcYPQ,Por el mismo dinero: ¿Cuál es mejor? iPhone vs Cámara #iphone #apple #cinematic,20,5,0,0
2026-05-18T02:10:49.522964+00:00,UCOvzFyIAr32yspwxx77BHcQ,Rob Paper Clips,1,0,14380,12,0,0,0.052156,12,3skIuC1lP00,"Las mujeres tienen pepino… y están guangas, según esta fan del temach",12,1,0,0
2026-05-18T02:10:49.522964+00:00,UCtoo4_P6ilCj7jwa4FmA5lQ,Soy Dalto,1,0,11778,10,0,0,0.06232,10,s2NSwy8xraQ,Con ESTO tu vida podria ser MÁS FÁCIL,10,1,0,0
2026-05-18T02:10:49.522964+00:00,UCX9NJ471o7Wie1DQe94RVIg,Fazt,1,0,26563,10,0,0,0.03471,10,s23TO2BQBcU,El FIN de la IA barata ya comenzó 🚨,10,0,1,0
2026-05-18T02:10:49.522964+00:00,UCHMSzZaVrEjK35aYK3J7Htw,Pequeño Cerdo Capitalista,6,0,26553,17,2,0,0.041903,2.5,9T90MfOpaZY,uando tus Papás se Enferman: Cómo Afrontarlo sin Romperte 💙,8,6,0,0
