video_id,lsa_1,lsa_2,lsa_3,lsa_4,lsa_5,lsa_6,lsa_7,lsa_8,lsa_9,lsa_10,lsa_11,lsa_12,lsa_13,lsa_14,lsa_15,lsa_16,lsa_17,lsa_18,lsa_19,lsa_20
fKuIJ_z2Y6A,0.00655386,0.0032904,0.0263448,0.01542929,-0.01319456,0.26093306,-0.09104663,0.05410985,0.01375609,0.08823867,0.06760248,0.02123723,0.07223263,0.04466861,0.34391924,-0.01952839,-0.05762751,-0.15397942,0.08575736,-0.02945064
OrI86PV-aPg,0.07302566,0.01683248,0.07922321,0.06054946,-0.1004242,-0.01677309,-0.01018709,-0.05686118,-0.0033217,-0.0306835,0.14715004,-0.04534353,-0.03924658,-0.02430746,0.00285982,-0.01548757,-0.04356608,-0.06383254,0.01693678,0.06224841
FGFaysGrKng,0.04041936,0.00102923,0.04221204,0.0244929,-0.04091066,0.03265489,0.01290195,-0.03652961,0.00660847,0.01554573,-0.01829679,0.01021248,-0.02695658,-0.0040622,0.02173345,0.04090133,-0.05951415,-0.02702545,0.01687353,0.04901776
4yDM3ZFcQm4,0.00624323,0.00334716,0.0233613,0.01588801,-0.01508052,0.22409709,-0.08204749,0.04290508,0.00227353,0.0147961,0.03406044,0.00922524,0.05280761,0.01700734,0.16818528,-0.04073467,-0.0313841,-0.06646025,0.03881028,-0.04117896
vmRbevilfpU,0.10185937,0.06522755,0.06035457,0.03940926,-0.07277349,0.00180681,0.04441404,-0.12416171,0.03430468,-0.00824587,-0.04553081,-0.11642924,0.04647124,0.06172728,-0.04358748,-0.01640807,0.03969423,-0.02487721,0.02236938,0.0154678
qgzwtKsXCMo,0.00662603,0.00298785,0.01712741,0.01136682,-0.01873446,0.01410996,0.00344205,-0.01048059,-0.00944604,-0.00109485,-0.01103333,-0.00402554,0.0047023,0.00253368,-0.01142695,0.02968823,0.01585985,-0.02238552,-0.01995211,-0.01424046
n2T6AOoUkOM,0.01219291,0.00902399,0.03676978,0.02486864,-0.01550888,0.18146411,-0.0613348,0.00842238,-0.01056722,-0.07343589,-0.01571984,-0.01383819,-0.00960641,-0.01822203,-0.12134484,-0.01616522,-0.05821848,0.02408454,0.06089282,-0.08857385
P1DSZNhApJA,0.02493063,0.0004279,0.04706244,0.04042524,-0.06115525,0.00133416,-0.00260799,0.04423312,-0.06800349,-0.02981013,-0.00084089,0.12007091,-0.07991126,-0.10610395,-0.04880221,0.21989436,0.13367545,-0.11329217,-0.06315697,-0.16422435
WOTUpoI2LQA,0.03579765,0.03017362,0.08132069,-0.01810121,-0.01016302,0.01040226,-0.00121306,-0.03191426,0.00057572,-0.00505144,0.00653649,0.01045599,-0.04993236,-0.00787734,0.0150818,-0.01252542,0.01364941,-0.03180887,-0.01786093,-0.00273706
1_H80JEZ2ko,0.03727329,0.03288072,0.02839626,0.02111479,-0.03372404,0.01356976,0.03872214,-0.05115174,0.01017582,-0.00344211,-0.03426256,-0.01455285,-0.009606,0.0380564,-0.0122027,0.01294446,0.02170815,-0.01025563,0.00930873,-0.01768844
